ft_id,sevM_id,LevScore,ft,sevMil,label
ft_id_1459,7.1m_207,0.8888888888888888,valeo,vale,False
ft_id_1637,7.1m_257,0.8888888888888888,aena,aetna,False
ft_id_1051,7.1m_933,0.8780487804878049,teva pharmaceutical,takeda pharmaceuticals,False
ft_id_1047,7.1m_1646,0.8571428571428572,equinix,equinox,False
ft_id_168,7.1m_934,0.8571428571428572,sap,saps,False
ft_id_971,7.1m_1865,0.8571428571428572,smc,tsmc,False
ft_id_309,7.1m_1507,0.85,american electric,american electric power,False
ft_id_236,7.1m_1134,0.8461538461538461,archer daniels midland,archer daniels midland company,False
ft_id_274,7.1m_660,0.8461538461538461,volvo group,volvo car group,False
ft_id_1041,7.1m_240,0.8387096774193549,delta electronics,lg electronics,False
ft_id_1916,7.1m_664,0.8387096774193549,ares management,waste management,False
ft_id_1302,7.1m_464,0.8333333333333334,air france-klm,air france,False
ft_id_1108,7.1m_1784,0.8301886792452831,j.b. hunt transport services,"j.b. hunt transport, inc.",False
ft_id_1924,7.1m_335,0.8292682926829268,palantir technologies,agilent technologies,False
ft_id_1727,7.1m_469,0.8292682926829268,shaw communications,charter communications,False
ft_id_1163,7.1m_800,0.8275862068965517,cj corporation,urs corporation,False
ft_id_411,7.1m_272,0.8235294117647058,bt group,bmw group,False
ft_id_1690,7.1m_1819,0.8205128205128205,sba communications,nuance communications,False
ft_id_1163,7.1m_330,0.8125,cj corporation,cerner corporation,False
ft_id_587,7.1m_1778,0.8108108108108107,baxter international,hub international,False
ft_id_1520,7.1m_1685,0.8,amerco,amec,False
ft_id_444,7.1m_50,0.8,l3harris technologies,huawei technologies,False
ft_id_15,7.1m_1650,0.8,shell,hella,False
ft_id_1656,7.1m_272,0.8,bawag group,bmw group,False
ft_id_386,7.1m_1616,0.8,omv group,volvo group,False
ft_id_805,7.1m_461,0.8,telia,tesla,False
ft_id_1032,7.1m_579,0.8,nasdaq,nasa,False
ft_id_1409,7.1m_192,0.8,kesko,eskom,False
ft_id_1543,7.1m_1320,0.8,concordia financial group,principal financial group,False
ft_id_544,7.1m_1783,0.8,lg electronics,sony electronics,False
ft_id_50,7.1m_1817,0.8,intel,antel,False
ft_id_1436,7.1m_1792,0.8,thor industries,shaw industries,False
ft_id_1434,7.1m_764,0.8,wendel,enel,False
ft_id_1179,7.1m_1984,0.8,secom,sweco,False
ft_id_1549,7.1m_615,0.8,huafa industrial,cnh industrial,False
ft_id_46,7.1m_492,0.8,rbc,rb,False
ft_id_587,7.1m_938,0.8,baxter international,nerium international,False
ft_id_1922,7.1m_1782,0.8,teledyne technologies,united technologies,False
ft_id_1693,7.1m_1424,0.8,pbf energy,edf energy,False
ft_id_1256,7.1m_1457,0.8,metro,metso,False
ft_id_41,7.1m_1712,0.8,cvs health,nsw health,False
ft_id_1026,7.1m_294,0.8,pegatron,pearson,False
ft_id_1656,7.1m_1972,0.8,bawag group,uba group,False
ft_id_1219,7.1m_316,0.8,carnival corporation,ncr corporation,False
ft_id_89,7.1m_1288,0.8,american international group,babcock international group,False
ft_id_1163,7.1m_1880,0.8,cj corporation,bose corporation,False
ft_id_1924,7.1m_1728,0.8,palantir technologies,akamai technologies,False
ft_id_1032,7.1m_561,0.8,nasdaq,asda,False
ft_id_464,7.1m_239,0.8,emirates nbd,emirates,False
ft_id_1724,7.1m_123,0.8,aecom technology,dxc technology,False
ft_id_18,7.1m_632,0.8,verizon communications,reliance communications,False
ft_id_360,7.1m_938,0.8,wilmar international,nerium international,False
ft_id_697,7.1m_879,0.8,s&p global,ust global,False
ft_id_1230,7.1m_115,0.8,santos,atos,False
ft_id_827,7.1m_442,0.8,segro,serco,False
ft_id_1279,7.1m_130,0.8,yara international,marriott international,False
ft_id_1380,7.1m_1651,0.8,vakifbank,akbank,False
ft_id_1179,7.1m_173,0.8,secom,aecom,False
ft_id_708,7.1m_384,0.8,mosaic,saic,False
ft_id_18,7.1m_1209,0.8,verizon communications,frontier communications,False
ft_id_397,7.1m_52,0.8,sk,gsk,False
ft_id_1440,7.1m_1960,0.8,kion group,kier group,False
ft_id_883,7.1m_281,0.8,isbank,axis bank,False
ft_id_1211,7.1m_924,0.7924528301886793,mirae asset financial group,massmutual financial group,False
ft_id_977,7.1m_846,0.7916666666666666,china international marine,caci international inc,False
ft_id_1276,7.1m_260,0.7916666666666666,universal health services,alberta health services,False
ft_id_1543,7.1m_1402,0.7916666666666666,concordia financial group,lincoln financial group,False
ft_id_481,7.1m_1402,0.7906976744186046,hana financial group,lincoln financial group,False
ft_id_18,7.1m_507,0.7906976744186046,verizon communications,rogers communications,False
ft_id_1219,7.1m_840,0.7894736842105263,carnival corporation,harris corporation,False
ft_id_1219,7.1m_330,0.7894736842105263,carnival corporation,cerner corporation,False
ft_id_1163,7.1m_676,0.7878787878787878,cj corporation,bechtel corporation,False
ft_id_998,7.1m_1608,0.7878787878787878,molina healthcare,emory healthcare,False
ft_id_1371,7.1m_1623,0.7878787878787878,sonic healthcare,molina healthcare,False
ft_id_1163,7.1m_1380,0.7878787878787878,cj corporation,centene corporation,False
ft_id_808,7.1m_1859,0.7878787878787878,hcl technologies,tata technologies,False
ft_id_574,7.1m_734,0.7878787878787878,lumen technologies,ca technologies,False
ft_id_1005,7.1m_454,0.7878787878787878,e.sun financial,sun life financial,False
ft_id_175,7.1m_1544,0.7878787878787878,dell technologies,fmc technologies,False
ft_id_544,7.1m_107,0.7878787878787878,lg electronics,samsung electronics,False
ft_id_1731,7.1m_1280,0.7857142857142857,bank of qingdao,bank of china,False
ft_id_1524,7.1m_1362,0.7857142857142857,bank of india,bank of ireland,False
ft_id_1912,7.1m_1362,0.7857142857142857,bank of xi'an,bank of ireland,False
ft_id_677,7.1m_952,0.7857142857142857,ross stores,"ross stores, inc.",False
ft_id_1574,7.1m_123,0.7857142857142857,hna technology,dxc technology,False
ft_id_710,7.1m_621,0.7857142857142857,daqin railway,indian railways,False
ft_id_593,7.1m_1320,0.782608695652174,woori financial group,principal financial group,False
ft_id_1195,7.1m_872,0.782608695652174,national bank of greece,national bank of canada,False
ft_id_409,7.1m_293,0.782608695652174,bae systems,epam systems,False
ft_id_749,7.1m_769,0.782608695652174,nrg energy,suncor energy,False
ft_id_337,7.1m_1810,0.782608695652174,fresenius,fresenius kabi,False
ft_id_1694,7.1m_457,0.782608695652174,iveco group,adecco group,False
ft_id_125,7.1m_1835,0.782608695652174,charter communications,discovery communications,False
ft_id_546,7.1m_130,0.7804878048780488,magna international,marriott international,False
ft_id_569,7.1m_335,0.7804878048780488,infineon technologies,agilent technologies,False
ft_id_61,7.1m_981,0.7804878048780488,bank of communications,tata communications,False
ft_id_588,7.1m_796,0.7804878048780488,fosun international,colliers international,False
ft_id_90,7.1m_422,0.7804878048780488,glencore international,magna international,False
ft_id_256,7.1m_1402,0.7804878048780488,kb financial group,lincoln financial group,False
ft_id_1922,7.1m_335,0.7804878048780488,teledyne technologies,agilent technologies,False
ft_id_1171,7.1m_1201,0.7777777777777778,caesars entertainment,caesars entertainment corporation,False
ft_id_1056,7.1m_1960,0.7777777777777778,3i group,kier group,False
ft_id_306,7.1m_272,0.7777777777777778,kbc group,bmw group,False
ft_id_175,7.1m_1440,0.7777777777777778,dell technologies,zensar technologies,False
ft_id_376,7.1m_1150,0.7777777777777778,hartford financial services,discover financial services,False
ft_id_1924,7.1m_734,0.7777777777777778,palantir technologies,ca technologies,False
ft_id_537,7.1m_328,0.7777777777777778,samsung c&t,samsung,False
ft_id_41,7.1m_1612,0.7777777777777778,cvs health,uchealth,False
ft_id_175,7.1m_1782,0.7777777777777778,dell technologies,united technologies,False
ft_id_750,7.1m_1154,0.7777777777777778,public bank,publica,False
ft_id_1668,7.1m_1037,0.7777777777777778,jyske bank,yes bank,False
ft_id_1451,7.1m_1440,0.7777777777777778,ss&c technologies,zensar technologies,False
ft_id_1503,7.1m_26,0.7777777777777778,zebra technologies,wipro technologies,False
ft_id_546,7.1m_1778,0.7777777777777778,magna international,hub international,False
ft_id_1936,7.1m_272,0.7777777777777778,tmx group,bmw group,False
ft_id_1306,7.1m_272,0.7777777777777778,aib group,bmw group,False
ft_id_175,7.1m_50,0.7777777777777778,dell technologies,huawei technologies,False
ft_id_63,7.1m_1972,0.7777777777777778,bmw group,uba group,False
ft_id_72,7.1m_1972,0.7777777777777778,aia group,uba group,False
ft_id_423,7.1m_1511,0.7777777777777778,philips,phillips 66,False
ft_id_1219,7.1m_490,0.7777777777777778,carnival corporation,lear corporation,False
ft_id_108,7.1m_734,0.7777777777777778,raytheon technologies,ca technologies,False
ft_id_20,7.1m_652,0.7777777777777778,petrochina,petronas,False
ft_id_43,7.1m_122,0.7777777777777778,softbank,scotiabank,False
ft_id_1075,7.1m_44,0.7777777777777778,agilent technologies,hcl technologies,False
ft_id_1163,7.1m_1699,0.7741935483870968,cj corporation,sabre corporation,False
ft_id_1000,7.1m_1792,0.7741935483870968,toray industries,shaw industries,False
ft_id_544,7.1m_1141,0.7741935483870968,lg electronics,arrow electronics,False
ft_id_826,7.1m_503,0.7741935483870968,grasim industries,ppg industries,False
ft_id_983,7.1m_240,0.7741935483870968,arrow electronics,lg electronics,False
ft_id_1371,7.1m_1897,0.7741935483870968,sonic healthcare,ssm health care,False
ft_id_1574,7.1m_732,0.7741935483870968,hna technology,micron technology,False
ft_id_90,7.1m_796,0.7727272727272727,glencore international,colliers international,False
ft_id_1978,7.1m_796,0.7727272727272727,logitech international,colliers international,False
ft_id_1391,7.1m_1320,0.7727272727272727,bnk financial group,principal financial group,False
ft_id_1543,7.1m_360,0.7727272727272727,concordia financial group,bmo financial group,False
ft_id_18,7.1m_469,0.7727272727272727,verizon communications,charter communications,False
ft_id_1694,7.1m_1855,0.7692307692307692,iveco group,investors group,False
ft_id_734,7.1m_670,0.7692307692307692,singtel,syntel,False
ft_id_1912,7.1m_1280,0.7692307692307692,bank of xi'an,bank of china,False
ft_id_1988,7.1m_796,0.7692307692307692,efg international,colliers international,False
ft_id_587,7.1m_422,0.7692307692307692,baxter international,magna international,False
ft_id_108,7.1m_26,0.7692307692307692,raytheon technologies,wipro technologies,False
ft_id_1664,7.1m_1410,0.7692307692307692,autodesk,odesk,False
ft_id_1503,7.1m_1237,0.7692307692307692,zebra technologies,hexaware technologies,False
ft_id_1740,7.1m_1270,0.7692307692307692,beigene,biogen,False
ft_id_546,7.1m_938,0.7692307692307692,magna international,nerium international,False
ft_id_869,7.1m_927,0.7692307692307692,ameren,cameron,False
ft_id_1253,7.1m_1186,0.7692307692307692,hologic,logica,False
ft_id_574,7.1m_844,0.7692307692307692,lumen technologies,infineon technologies,False
ft_id_1219,7.1m_916,0.7692307692307692,carnival corporation,parsons corporation,False
ft_id_1978,7.1m_1778,0.7692307692307692,logitech international,hub international,False
ft_id_1261,7.1m_1525,0.7692307692307692,akbank,maybank,False
ft_id_484,7.1m_1651,0.7692307692307692,maybank,akbank,False
ft_id_1075,7.1m_1728,0.7692307692307692,agilent technologies,akamai technologies,False
ft_id_1646,7.1m_1854,0.7692307692307692,bok financial,lpl financial,False
ft_id_569,7.1m_26,0.7692307692307692,infineon technologies,wipro technologies,False
ft_id_1940,7.1m_796,0.7692307692307692,asm international,colliers international,False
ft_id_1520,7.1m_927,0.7692307692307692,amerco,cameron,False
ft_id_741,7.1m_180,0.7692307692307692,united airlines holdings,united airlines,False
ft_id_698,7.1m_1013,0.7692307692307692,huntington bank,huntington national bank,False
ft_id_1332,7.1m_1250,0.7659574468085106,huadian power international,harman international,False
ft_id_733,7.1m_872,0.7659574468085106,national bank of kuwait ,national bank of canada,False
ft_id_76,7.1m_394,0.7647058823529411,american express,american red cross,False
ft_id_702,7.1m_1544,0.7647058823529411,trane technologies,fmc technologies,False
ft_id_1503,7.1m_44,0.7647058823529411,zebra technologies,hcl technologies,False
ft_id_199,7.1m_1322,0.7647058823529411,cathay financial,allstate financial,False
ft_id_1607,7.1m_1322,0.7647058823529411,stifel financial,allstate financial,False
ft_id_1344,7.1m_1783,0.7647058823529411,compal electronics,sony electronics,False
ft_id_1712,7.1m_1033,0.7647058823529411,sumec corporation,kmart corporation,False
ft_id_985,7.1m_774,0.7647058823529411,tenet healthcare,kindred healthcare,False
ft_id_1041,7.1m_1141,0.7647058823529411,delta electronics,arrow electronics,False
ft_id_194,7.1m_1068,0.7647058823529411,hca healthcare,advocate health care,False
ft_id_1714,7.1m_1608,0.7647058823529411,ramsay health care,emory healthcare,False
ft_id_400,7.1m_848,0.7647058823529411,saudi telecom,saudi telecom company,False
ft_id_1712,7.1m_37,0.7647058823529411,sumec corporation,intel corporation,False
ft_id_1371,7.1m_1419,0.7647058823529411,sonic healthcare,sentara healthcare,False
ft_id_861,7.1m_44,0.7647058823529411,roper technologies,hcl technologies,False
ft_id_175,7.1m_1859,0.7647058823529411,dell technologies,tata technologies,False
ft_id_1714,7.1m_1999,0.7647058823529411,ramsay health care,sharp healthcare,False
ft_id_1371,7.1m_264,0.7647058823529411,sonic healthcare,siemens healthcare,False
ft_id_218,7.1m_1960,0.7619047619047619,midea group,kier group,False
ft_id_360,7.1m_796,0.7619047619047619,wilmar international,colliers international,False
ft_id_455,7.1m_1424,0.7619047619047619,xcel energy,edf energy,False
ft_id_596,7.1m_1819,0.7619047619047619,rogers communications,nuance communications,False
ft_id_1033,7.1m_1383,0.7619047619047619,comerica,comerica bank,False
ft_id_430,7.1m_512,0.7619047619047619,general mills,generali,False
ft_id_831,7.1m_1374,0.7619047619047619,cms energy,xcel energy,False
ft_id_999,7.1m_872,0.7619047619047619,union bank of india,national bank of canada,False
ft_id_338,7.1m_1389,0.7619047619047619,marsh & mclennan,marsh & mclennan companies,False
ft_id_610,7.1m_1250,0.7619047619047619,marriott international,harman international,False
ft_id_444,7.1m_1237,0.7619047619047619,l3harris technologies,hexaware technologies,False
ft_id_274,7.1m_1377,0.7619047619047619,volvo group,lego group,False
ft_id_221,7.1m_938,0.7619047619047619,mondelez international,nerium international,False
ft_id_1915,7.1m_984,0.7619047619047619,cencosud,cencosud s.a.,False
ft_id_653,7.1m_1374,0.7619047619047619,dte energy,xcel energy,False
ft_id_1280,7.1m_1616,0.7619047619047619,olam group,volvo group,False
ft_id_587,7.1m_796,0.7619047619047619,baxter international,colliers international,False
ft_id_1767,7.1m_1920,0.7619047619047619,newell brands,l brands,False
ft_id_790,7.1m_1377,0.7619047619047619,lonza group,lego group,False
ft_id_600,7.1m_796,0.7619047619047619,edison international,colliers international,False
ft_id_1146,7.1m_177,0.7619047619047619,evraz group,ikea group,False
ft_id_278,7.1m_360,0.7619047619047619,shinhan financial group,bmo financial group,False
ft_id_1727,7.1m_632,0.7619047619047619,shaw communications,reliance communications,False
ft_id_79,7.1m_573,0.76,zurich insurance group,zurich insurance company ltd,False
ft_id_610,7.1m_1357,0.76,marriott international,mcdermott international inc.,False
ft_id_1436,7.1m_503,0.7586206896551724,thor industries,ppg industries,False
ft_id_8,7.1m_1444,0.7586206896551724,bank of america,bank of baroda,False
ft_id_38,7.1m_705,0.7586206896551724,bnp paribas,bnp paribas fortis,False
ft_id_249,7.1m_609,0.7586206896551724,general dynamics,general mills,False
ft_id_1607,7.1m_1854,0.7586206896551724,stifel financial,lpl financial,False
ft_id_953,7.1m_16,0.7586206896551724,bank of baroda,bank of america,False
ft_id_1314,7.1m_240,0.7586206896551724,electronic arts,lg electronics,False
ft_id_1371,7.1m_117,0.7586206896551724,sonic healthcare,ge healthcare,False
ft_id_194,7.1m_1897,0.7586206896551724,hca healthcare,ssm health care,False
ft_id_8,7.1m_943,0.7586206896551724,bank of america,anglo american,False
ft_id_1530,7.1m_734,0.7567567567567568,fleetcor technologies ,ca technologies,False
ft_id_702,7.1m_1440,0.7567567567567568,trane technologies,zensar technologies,False
ft_id_389,7.1m_1507,0.7567567567567568,american tower,american electric power,False
ft_id_808,7.1m_1237,0.7567567567567568,hcl technologies,hexaware technologies,False
ft_id_569,7.1m_1544,0.7567567567567568,infineon technologies,fmc technologies,False
ft_id_108,7.1m_44,0.7567567567567568,raytheon technologies,hcl technologies,False
ft_id_444,7.1m_44,0.7567567567567568,l3harris technologies,hcl technologies,False
ft_id_861,7.1m_1782,0.7567567567567568,roper technologies,united technologies,False
ft_id_1415,7.1m_621,0.7567567567567568,indian railway finance,indian railways,False
ft_id_1503,7.1m_388,0.7567567567567568,zebra technologies,indite technologies,False
ft_id_1503,7.1m_1728,0.7567567567567568,zebra technologies,akamai technologies,False
ft_id_175,7.1m_335,0.7567567567567568,dell technologies,agilent technologies,False
ft_id_360,7.1m_1778,0.7567567567567568,wilmar international,hub international,False
ft_id_1922,7.1m_44,0.7567567567567568,teledyne technologies,hcl technologies,False
ft_id_861,7.1m_50,0.7567567567567568,roper technologies,huawei technologies,False
ft_id_1219,7.1m_1699,0.7567567567567568,carnival corporation,sabre corporation,False
ft_id_1219,7.1m_37,0.7567567567567568,carnival corporation,intel corporation,False
ft_id_561,7.1m_924,0.7555555555555555,svb financial group,massmutual financial group,False
ft_id_61,7.1m_632,0.7555555555555555,bank of communications,reliance communications,False
ft_id_184,7.1m_796,0.7555555555555555,honeywell international,colliers international,False
ft_id_1720,7.1m_575,0.2978723404255319,starwood property trust,generalitat de catalunya,False
ft_id_1701,7.1m_1853,0.2962962962962963,bj's wholesale club,personal,False
ft_id_153,7.1m_1601,0.2962962962962963,hdfc bank,balfour beatty plc,False
ft_id_1559,7.1m_607,0.2962962962962963,vietin bank,pivate institute,False
ft_id_1829,7.1m_854,0.2962962962962963,senshu ikeda holdings,vestas,False
ft_id_539,7.1m_1598,0.2962962962962963,prudential,aarhus university,False
