db_id;sevM_id;LevScore;db;sevMil;label
dbpedia_5050;7.1m_1438;1.0;televisa;televisa;TRUE
dbpedia_5753;7.1m_144;1.0;astrazeneca;astrazeneca;TRUE
dbpedia_6546;7.1m_1969;1.0;zoetis;zoetis;TRUE
dbpedia_6600;7.1m_992;1.0;capita;capita;TRUE
dbpedia_1568;7.1m_345;1.0;nordea;nordea;TRUE
dbpedia_2082;7.1m_190;1.0;eli lilly and company;eli lilly and company;TRUE
dbpedia_998;7.1m_196;1.0;kroger;kroger;TRUE
dbpedia_2612;7.1m_985;1.0;alcoa;alcoa;TRUE
dbpedia_311;7.1m_755;1.0;cemex;cemex;TRUE
dbpedia_4114;7.1m_365;1.0;cigna;cigna;TRUE
dbpedia_4559;7.1m_840;1.0;harris corporation;harris corporation;TRUE
dbpedia_4016;7.1m_379;1.0;rabobank;rabobank;TRUE
dbpedia_4267;7.1m_197;1.0;thermo fisher scientific;thermo fisher scientific;TRUE
dbpedia_76;7.1m_122;1.0;scotiabank;scotiabank;TRUE
dbpedia_2138;7.1m_1191;1.0;luxoft;luxoft;TRUE
dbpedia_444;7.1m_1294;1.0;transocean;transocean;TRUE
dbpedia_4415;7.1m_376;1.0;michelin;michelin;TRUE
dbpedia_3452;7.1m_1039;1.0;fonterra;fonterra;TRUE
dbpedia_700;7.1m_894;1.0;embraer;embraer;TRUE
dbpedia_2741;7.1m_513;0.962962962962963;suntrust banks;suntrust bank;TRUE
dbpedia_4877;7.1m_431;0.9375;sherwin-williams;sherwin williams;TRUE
dbpedia_4585;7.1m_498;0.9230769230769231;bloomberg l.p.;bloomberg lp;TRUE
dbpedia_1836;7.1m_360;0.9189189189189189;op financial group;bmo financial group;FALSE
dbpedia_4919;7.1m_1824;0.9166666666666666;msc software;bmc software;FALSE
dbpedia_4664;7.1m_490;0.9090909090909091;blair corporation;lear corporation;FALSE
dbpedia_4210;7.1m_1642;0.8979591836734694;anhanguera educacional;anhanguera educacional s.a.;TRUE
dbpedia_80;7.1m_360;0.8947368421052632;fbl financial group;bmo financial group;FALSE
dbpedia_6769;7.1m_1325;0.8947368421052632;fbr capital markets;rbc capital markets;FALSE
dbpedia_6719;7.1m_422;0.8888888888888888;kmg international;magna international;FALSE
dbpedia_3688;7.1m_1033;0.8823529411764706;okuma corporation;kmart corporation;FALSE
dbpedia_2548;7.1m_360;0.8780487804878049;mizuho financial group;bmo financial group;FALSE
dbpedia_6537;7.1m_133;0.8780487804878049;standard chartered;standard chartered bank;TRUE
dbpedia_190;7.1m_737;875;nbs bank;dbs bank;FALSE
dbpedia_4517;7.1m_1196;875;s group;skf group;FALSE
dbpedia_6448;7.1m_490;875;line corporation;lear corporation;FALSE
dbpedia_2736;7.1m_268;875;urs corporation;fluor corporation;FALSE
dbpedia_3355;7.1m_800;0.8666666666666667;ugi corporation;urs corporation;FALSE
dbpedia_1965;7.1m_316;0.8666666666666667;amr corporation;ncr corporation;FALSE
dbpedia_3080;7.1m_316;0.8666666666666667;mpc corporation;ncr corporation;FALSE
dbpedia_4762;7.1m_734;0.8666666666666667;l3 technologies;ca technologies;FALSE
dbpedia_2578;7.1m_800;0.8666666666666667;aes corporation;urs corporation;FALSE
dbpedia_6179;7.1m_360;0.8648648648648649;ia financial group;bmo financial group;FALSE
dbpedia_4015;7.1m_938;0.8648648648648649;rsm international;nerium international;FALSE
dbpedia_6672;7.1m_1209;0.8636363636363636;rogers communications;frontier communications;FALSE
dbpedia_2898;7.1m_507;0.8571428571428572;cogent communications;rogers communications;FALSE
dbpedia_5107;7.1m_1250;0.8571428571428572;ayngaran international;harman international;FALSE
dbpedia_668;7.1m_1699;0.8571428571428572;target corporation;sabre corporation;FALSE
dbpedia_3654;7.1m_813;0.8571428571428572;mars canada;air canada;FALSE
dbpedia_2440;7.1m_422;0.85;mantech international;magna international;FALSE
dbpedia_466;7.1m_1393;0.85;bath & body works, inc.;bath & body works;TRUE
dbpedia_983;7.1m_316;0.8484848484848485;corvel corporation;ncr corporation;FALSE
dbpedia_5373;7.1m_490;0.8484848484848485;cerus corporation;lear corporation;FALSE
dbpedia_4559;7.1m_800;0.8484848484848485;harris corporation;urs corporation;FALSE
dbpedia_5219;7.1m_37;0.8484848484848485;lion corporation;intel corporation;FALSE
dbpedia_5823;7.1m_800;0.8484848484848485;efunds corporation;urs corporation;FALSE
dbpedia_652;7.1m_37;0.8484848484848485;teac corporation;intel corporation;FALSE
dbpedia_4341;7.1m_734;0.8484848484848485;smart technologies;ca technologies;FALSE
dbpedia_4261;7.1m_490;0.8484848484848485;sharp corporation;lear corporation;FALSE
dbpedia_3578;7.1m_1653;0.8484848484848485;ally financial;ally financial inc.;TRUE
dbpedia_1004;7.1m_800;0.8484848484848485;kureha corporation;urs corporation;FALSE
dbpedia_5573;7.1m_840;0.8484848484848485;ihi corporation;harris corporation;FALSE
dbpedia_5219;7.1m_268;0.8484848484848485;lion corporation;fluor corporation;FALSE
dbpedia_4837;7.1m_506;0.8421052631578947;gw pharmaceuticals;teva pharmaceuticals;FALSE
dbpedia_6229;7.1m_537;0.8421052631578947;outsystems;t-systems;FALSE
dbpedia_863;7.1m_923;0.8421052631578947;rpm international;dyncorp international;FALSE
dbpedia_4873;7.1m_981;0.8421052631578947;shaw communications;tata communications;FALSE
dbpedia_651;7.1m_1700;0.8421052631578947;tc energy;dte energy;FALSE
dbpedia_6137;7.1m_275;0.84;jgc holdings corporation;sears holdings corporation;FALSE
dbpedia_5310;7.1m_664;0.8387096774193549;ares management;waste management;FALSE
dbpedia_360;7.1m_37;0.8387096774193549;lg corporation;intel corporation;FALSE
dbpedia_360;7.1m_268;0.8387096774193549;lg corporation;fluor corporation;FALSE
dbpedia_1389;7.1m_1880;0.8387096774193549;smc corporation;bose corporation;FALSE
dbpedia_5219;7.1m_316;0.8387096774193549;lion corporation;ncr corporation;FALSE
dbpedia_5078;7.1m_1947;0.8333333333333334;eneco;tenneco;FALSE
dbpedia_987;7.1m_486;0.8333333333333334;cox communications;l-3 communications;FALSE
dbpedia_3467;7.1m_1370;0.8333333333333334;varian semiconductor;on semiconductor;FALSE
dbpedia_2689;7.1m_1680;0.8333333333333334;disco corporation;visteon corporation;FALSE
dbpedia_547;7.1m_866;0.8333333333333334;rlg communications;cox communications;FALSE
dbpedia_893;7.1m_1699;0.8333333333333334;arotech corporation;sabre corporation;FALSE
dbpedia_3837;7.1m_173;0.8333333333333334;wavecom;aecom;FALSE
dbpedia_1113;7.1m_1624;0.8333333333333334;shentel;entel;FALSE
dbpedia_5367;7.1m_37;0.8333333333333334;centene corporation;intel corporation;FALSE
dbpedia_3584;7.1m_840;0.8333333333333334;amarin corporation;harris corporation;FALSE
dbpedia_3506;7.1m_663;0.8333333333333334;canica;scania;FALSE
dbpedia_6682;7.1m_483;0.8333333333333334;altana;altran;FALSE
dbpedia_1314;7.1m_676;0.8333333333333334;telus corporation;bechtel corporation;FALSE
dbpedia_2702;7.1m_506;0.8292682926829268;ems (pharmaceuticals);teva pharmaceuticals;FALSE
dbpedia_1458;7.1m_469;0.8292682926829268;chess communication;charter communications;FALSE
dbpedia_6179;7.1m_1402;0.8292682926829268;ia financial group;lincoln financial group;FALSE
dbpedia_6049;7.1m_632;0.8292682926829268;lsc communications;reliance communications;FALSE
dbpedia_1240;7.1m_1897;0.8275862068965517;bmi healthcare;ssm health care;FALSE
dbpedia_1641;7.1m_316;0.8235294117647058;danaher corporation;ncr corporation;FALSE
dbpedia_1854;7.1m_1544;0.8235294117647058;slack technologies;fmc technologies;FALSE
dbpedia_1152;7.1m_1778;0.8235294117647058;icf international;hub international;FALSE
dbpedia_3935;7.1m_490;0.8235294117647058;deluxe corporation;lear corporation;FALSE
dbpedia_5522;7.1m_1033;0.8235294117647058;banta corporation;kmart corporation;FALSE
dbpedia_4932;7.1m_1699;0.8235294117647058;ohara corporation;sabre corporation;FALSE
dbpedia_4400;7.1m_586;0.8235294117647058;interoute;intertek;FALSE
dbpedia_5455;7.1m_316;0.8235294117647058;chevron corporation;ncr corporation;FALSE
dbpedia_1182;7.1m_1880;0.8235294117647058;roblox corporation;bose corporation;FALSE
dbpedia_6297;7.1m_1778;0.8235294117647058;tfi international;hub international;FALSE
dbpedia_267;7.1m_37;0.8235294117647058;noble corporation;intel corporation;FALSE
dbpedia_4932;7.1m_268;0.8235294117647058;ohara corporation;fluor corporation;FALSE
dbpedia_1965;7.1m_916;0.8235294117647058;amr corporation;parsons corporation;FALSE
dbpedia_3246;7.1m_486;0.8235294117647058;ps communication;l-3 communications;FALSE
dbpedia_4447;7.1m_480;0.8235294117647058;technipfmc;technip;TRUE
dbpedia_6719;7.1m_1778;0.8235294117647058;kmg international;hub international;FALSE
dbpedia_2067;7.1m_1699;0.8235294117647058;ebara corporation;sabre corporation;FALSE
dbpedia_2932;7.1m_1140;0.8235294117647058;tenet healthcare;genesis healthcare;FALSE
dbpedia_1771;7.1m_17;0.8235294117647058;jpmorgan chase;jpmorgan chase & co.;TRUE
dbpedia_5456;7.1m_1876;0.8235294117647058;andritz ag;andritz;TRUE
dbpedia_5567;7.1m_1699;0.8235294117647058;maeda corporation;sabre corporation;FALSE
dbpedia_3808;7.1m_933;0.8235294117647058;takeda pharmaceutical company;takeda pharmaceuticals;TRUE
dbpedia_1314;7.1m_268;0.8235294117647058;telus corporation;fluor corporation;FALSE
dbpedia_6328;7.1m_281;0.8235294117647058;asb bank;axis bank;FALSE
dbpedia_835;7.1m_485;0.8214285714285714;boston consulting group;the boston consulting group (bcg);TRUE
dbpedia_5567;7.1m_1918;0.8205128205128205;maeda corporation;sealed air corporation;FALSE
dbpedia_5021;7.1m_50;0.8205128205128205;maxwell technologies;huawei technologies;FALSE
dbpedia_4664;7.1m_1918;0.8205128205128205;blair corporation;sealed air corporation;FALSE
dbpedia_6672;7.1m_866;0.8205128205128205;rogers communications;cox communications;FALSE
dbpedia_6372;7.1m_938;0.8205128205128205;pride international;nerium international;FALSE
dbpedia_6049;7.1m_1819;0.8205128205128205;lsc communications;nuance communications;FALSE
dbpedia_732;7.1m_810;0.8181818181818181;byd company;any company;FALSE
dbpedia_6212;7.1m_796;0.8181818181818181;softline international;colliers international;FALSE
dbpedia_796;7.1m_1377;0.8181818181818181;egmont group;lego group;FALSE
dbpedia_475;7.1m_933;0.8181818181818181;beacon pharmaceuticals;takeda pharmaceuticals;FALSE
dbpedia_1559;7.1m_644;0.8181818181818181;firstmerit corporation;first data corporation;FALSE
dbpedia_2145;7.1m_1751;0.8148148148148149;navitas limited;niit limited;FALSE
dbpedia_5724;7.1m_117;0.8148148148148149;api healthcare;ge healthcare;FALSE
dbpedia_233;7.1m_1733;0.8148148148148149;stepan company;telia company;FALSE
dbpedia_2276;7.1m_316;0.8125;kirby corporation;ncr corporation;FALSE
dbpedia_2105;7.1m_1699;0.8125;usg corporation;sabre corporation;FALSE
dbpedia_3005;7.1m_1880;0.8125;nass corporation;bose corporation;FALSE
dbpedia_3355;7.1m_268;0.8125;ugi corporation;fluor corporation;FALSE
dbpedia_6677;7.1m_316;0.8125;amrep corporation;ncr corporation;FALSE
dbpedia_2062;7.1m_734;0.8125;dell technologies;ca technologies;FALSE
dbpedia_3355;7.1m_37;0.8125;ugi corporation;intel corporation;FALSE
dbpedia_1419;7.1m_149;0.8125;aegean airlines;american airlines;FALSE
dbpedia_3;7.1m_1699;0.8125;apa corporation;sabre corporation;FALSE
dbpedia_1132;7.1m_490;0.8125;hoya corporation;lear corporation;FALSE
dbpedia_2768;7.1m_490;0.8125;hess corporation;lear corporation;FALSE
dbpedia_2768;7.1m_1880;0.8125;hess corporation;bose corporation;FALSE
dbpedia_2578;7.1m_1033;0.8125;aes corporation;kmart corporation;FALSE
dbpedia_3886;7.1m_1880;0.8125;smtc corporation;bose corporation;FALSE
dbpedia_5805;7.1m_1699;0.8125;avx corporation;sabre corporation;FALSE
dbpedia_4613;7.1m_800;0.8125;geron corporation;urs corporation;FALSE
dbpedia_6448;7.1m_1880;0.8125;line corporation;bose corporation;FALSE
dbpedia_653;7.1m_268;0.8125;toa corporation;fluor corporation;FALSE
dbpedia_5522;7.1m_316;0.8125;banta corporation;ncr corporation;FALSE
dbpedia_2359;7.1m_1033;0.8125;kyb corporation;kmart corporation;FALSE
dbpedia_3;7.1m_1033;0.8125;apa corporation;kmart corporation;FALSE
dbpedia_2364;7.1m_1699;0.8125;kla corporation;sabre corporation;FALSE
dbpedia_6385;7.1m_1880;0.8125;sram corporation;bose corporation;FALSE
dbpedia_1389;7.1m_1033;0.8125;smc corporation;kmart corporation;FALSE
dbpedia_2210;7.1m_490;0.8108108108108107;newmarket corporation;lear corporation;FALSE
dbpedia_2910;7.1m_843;0.8108108108108107;crédit agricole srbija;crédit agricole;FALSE
dbpedia_25;7.1m_1140;0.8108108108108107;envision healthcare;genesis healthcare;FALSE
dbpedia_2011;7.1m_486;0.8108108108108107;axis communications;l-3 communications;FALSE
dbpedia_3400;7.1m_1782;0.8108108108108107;lumen technologies;united technologies;FALSE
dbpedia_6645;7.1m_1680;0.8108108108108107;tesoro corporation;visteon corporation;FALSE
dbpedia_3584;7.1m_916;0.8108108108108107;amarin corporation;parsons corporation;FALSE
dbpedia_4873;7.1m_866;0.8108108108108107;shaw communications;cox communications;FALSE
dbpedia_6151;7.1m_938;0.8095238095238095;sherritt international;nerium international;FALSE
dbpedia_3540;7.1m_933;0.8095238095238095;jazz pharmaceuticals;takeda pharmaceuticals;FALSE
dbpedia_5809;7.1m_1380;0.8095238095238095;acme united corporation;centene corporation;FALSE
dbpedia_2300;7.1m_130;0.8095238095238095;wilmar international;marriott international;FALSE
dbpedia_3359;7.1m_1819;0.8095238095238095;sunday communications;nuance communications;FALSE
dbpedia_6119;7.1m_429;0.8085106382978724;baird (investment bank);barclays investment bank;FALSE
dbpedia_4031;7.1m_1402;0.8085106382978724;stancorp financial group;lincoln financial group;FALSE
dbpedia_6765;7.1m_1797;0.2962962962962963;third federal s&l;indeed.com;FALSE
dbpedia_1524;7.1m_1394;0.2962962962962963;redfin;libero professionista;FALSE
dbpedia_778;7.1m_1386;0.2962962962962963;advocate aurora health;areva;FALSE
dbpedia_729;7.1m_1789;0.2962962962962963;bdo global;discovery limited;FALSE
dbpedia_1085;7.1m_288;0.2962962962962963;trader joe's;banco do brasil;FALSE
dbpedia_5843;7.1m_396;0.2962962962962963;hanmi bank;time warner cable;FALSE
dbpedia_2271;7.1m_1040;0.2962962962962963;japan post;m. h. alshaya co.;FALSE
dbpedia_6770;7.1m_89;0.2962962962962963;fast retailing;deutsche bank;FALSE
dbpedia_951;7.1m_596;0.2962962962962963;cir group;rutgers university;FALSE
dbpedia_6049;7.1m_1196;0.2962962962962963;lsc communications;skf group;FALSE
dbpedia_5125;7.1m_829;0.2962962962962963;psion (company);bnsf railway;FALSE
dbpedia_5766;7.1m_35;0.2941176470588235;dole food company;kaiser permanente;FALSE
dbpedia_6408;7.1m_660;0.2941176470588235;tower international;volvo car group;FALSE
dbpedia_1202;7.1m_741;0.29268292682926833;orion corporation;university of pittsburgh;FALSE
dbpedia_2553;7.1m_1110;0.2909090909090909;tag tegernsee immobilien und beteiligung;gilead sciences;FALSE
dbpedia_934;7.1m_1965;0.2857142857142857;uralsvyazinform;canadian natural resources limited (cnrl);FALSE
dbpedia_773;7.1m_1797;0.2857142857142857;limelight networks;indeed.com;FALSE
dbpedia_4675;7.1m_280;0.2857142857142857;veeco;primerica;FALSE
dbpedia_6733;7.1m_776;0.2857142857142857;trek bicycle corporation;tyson foods;FALSE
dbpedia_2856;7.1m_1288;0.2857142857142857;united airlines;babcock international group;FALSE
dbpedia_972;7.1m_862;0.2857142857142857;color press group;the university of arizona;FALSE
dbpedia_3790;7.1m_189;0.2857142857142857;patterson companies;société générale;FALSE
dbpedia_5102;7.1m_486;0.2857142857142857;audacious inquiry;l-3 communications;FALSE
dbpedia_4620;7.1m_520;0.2857142857142857;nii holdings;nbcuniversal media, llc;FALSE
dbpedia_3759;7.1m_966;0.2857142857142857;sunten;swiss re;FALSE
dbpedia_6190;7.1m_1014;0.2857142857142857;manpowergroup;bmo harris bank;FALSE
dbpedia_6479;7.1m_750;0.2857142857142857;servisair;mahindra & mahindra;FALSE
dbpedia_5356;7.1m_1799;0.2857142857142857;brenntag;neiman marcus;FALSE
dbpedia_3430;7.1m_1725;0.2790697674418605;regeneron pharmaceuticals;arbetsförmedlingen;FALSE
dbpedia_1293;7.1m_1036;0.2777777777777778;pell frischmann;vanderbilt university;FALSE
dbpedia_582;7.1m_539;0.27586206896551724;pcsb bank;anheuser-busch inbev;FALSE
dbpedia_157;7.1m_1381;0.27586206896551724;garrett motion;rijkswaterstaat;FALSE
dbpedia_2816;7.1m_291;0.27450980392156865;st. joe company;intercontinental hotels group (ihg®);FALSE
dbpedia_4604;7.1m_1251;0.2727272727272727;loblaw companies;my own;FALSE
dbpedia_4332;7.1m_1711;0.2727272727272727;omnova solutions;sobeys;FALSE
dbpedia_5041;7.1m_1614;0.2702702702702703;pelikan;mary kay idependent consultant;FALSE
dbpedia_3907;7.1m_1869;0.2702702702702703;santander uk;valero energy corporation;FALSE
dbpedia_524;7.1m_1720;0.2666666666666667;hydro one;dar al-handasah (shair and partners);FALSE
dbpedia_4613;7.1m_513;0.2666666666666667;geron corporation;suntrust bank;FALSE
dbpedia_1287;7.1m_1670;0.2666666666666667;mitsuba corporation;sbb cff ffs;FALSE
dbpedia_6033;7.1m_1432;0.2666666666666667;dangote group;walmart ecommerce;FALSE
dbpedia_3636;7.1m_382;0.2666666666666667;tietoevry;adecco;FALSE
dbpedia_4377;7.1m_847;0.2666666666666667;wpx energy;hertz;FALSE
dbpedia_4424;7.1m_241;0.2666666666666667;metso;bombardier;FALSE
dbpedia_1970;7.1m_1778;0.2666666666666667;weichai power;hub international;FALSE
dbpedia_2840;7.1m_514;0.2666666666666667;black & veatch;rockwell collins;FALSE
dbpedia_5361;7.1m_276;0.2666666666666667;cmpc (company);cleveland clinic;FALSE
dbpedia_5105;7.1m_359;0.2666666666666667;bmc software;le groupe la poste;FALSE
dbpedia_1737;7.1m_774;0.2666666666666667;tokyo cement;kindred healthcare;FALSE
dbpedia_5268;7.1m_1338;0.2666666666666667;national bank of kenya;netsuite;FALSE
dbpedia_1552;7.1m_1276;0.2666666666666667;yettel serbia;wake county public school system;FALSE
dbpedia_5552;7.1m_1785;0.26415094339622647;g data cyberdefense;max life insurance company limited;FALSE
dbpedia_4308;7.1m_609;0.26315789473684215;hudson pacific properties;general mills;FALSE
dbpedia_2602;7.1m_416;0.26315789473684215;harman connected services;worleyparsons;FALSE
dbpedia_6643;7.1m_1429;0.26315789473684215;las vegas sands;university of rochester;FALSE
dbpedia_6438;7.1m_969;0.26315789473684215;edda media;the university of manchester;FALSE
dbpedia_2124;7.1m_790;0.26315789473684215;bradesco seguros;union pacific railroad;FALSE
dbpedia_1403;7.1m_729;0.26086956521739135;salomon brothers;parexel;FALSE
dbpedia_4073;7.1m_25;0.26086956521739135;vst industries;capgemini;FALSE
dbpedia_121;7.1m_996;0.26086956521739135;hayneedle;poder judicial;FALSE
dbpedia_5970;7.1m_1973;0.26086956521739135;nikko ceramics;food lion;FALSE
dbpedia_2674;7.1m_1431;0.26086956521739135;accenture;dupont pioneer;FALSE
dbpedia_4208;7.1m_1355;0.25806451612903225;alpha natural resources;tu delft;FALSE
dbpedia_1650;7.1m_1116;0.25806451612903225;beher (company);bank of the west;FALSE
dbpedia_6758;7.1m_1377;0.2564102564102564;tide (transportation company);lego group;FALSE
dbpedia_1936;7.1m_378;0.2564102564102564;minera autlan;sakri it solutions pvt ltd;FALSE
dbpedia_5876;7.1m_1005;0.25531914893617025;genesis microchip;memorial hermann health system;FALSE
dbpedia_6620;7.1m_1493;0.25531914893617025;country financial;melaleuca:the wellness company;FALSE
dbpedia_3773;7.1m_1954;0.25531914893617025;maxim integrated;regeneron pharmaceuticals, inc.;FALSE
dbpedia_6887;7.1m_1246;0.25396825396825395;merrill lynch & co.;javier orensans. productor asesor de seguros;FALSE
dbpedia_1401;7.1m_140;0.25;sanoma;exxonmobil;FALSE
dbpedia_4382;7.1m_981;0.25;ageas;tata communications;FALSE
dbpedia_3547;7.1m_1521;0.25;ternium;oklahoma state university;FALSE
dbpedia_1635;7.1m_467;0.25;correios;bayer healthcare;FALSE
dbpedia_556;7.1m_941;0.25;republika srpska railways;red hat;FALSE
dbpedia_4934;7.1m_3;0.25;mangalia shipyard;us army;FALSE
dbpedia_1745;7.1m_385;0.25;tom tailor;bureau veritas;FALSE
dbpedia_3056;7.1m_1710;0.25;ferreyros;praxair;FALSE
dbpedia_1141;7.1m_1041;0.25;hubspot;republic services;FALSE
dbpedia_4521;7.1m_1293;0.25;safran;ef education first;FALSE
dbpedia_2212;7.1m_115;0.25;unión fenosa;atos;FALSE
dbpedia_1435;7.1m_729;0.25;electrica;parexel;FALSE
dbpedia_3929;7.1m_265;0.25;advance publications;cibc;FALSE
dbpedia_6795;7.1m_882;0.24242424242424243;affinity water;deloitte consulting;FALSE
dbpedia_5695;7.1m_1535;0.24242424242424243;people's leasing & finance;servier;FALSE
dbpedia_2390;7.1m_1755;0.24;j. j. ugland;hyatt regency;FALSE
dbpedia_6671;7.1m_1365;0.24;forest essentials;swisscom;FALSE
dbpedia_3814;7.1m_1451;0.23529411764705888;morinaga & company;st. jude medical;FALSE
dbpedia_4818;7.1m_478;0.23529411764705888;choppies;sonatrach;FALSE
dbpedia_55;7.1m_1647;0.23529411764705888;profire energy;sfr;FALSE
dbpedia_6481;7.1m_687;0.23529411764705888;geely;fedex ground;FALSE
dbpedia_3536;7.1m_1733;0.23529411764705888;kone;telia company;FALSE
dbpedia_391;7.1m_1995;0.23529411764705888;wyndham capital mortgage;con edison;FALSE
dbpedia_6192;7.1m_82;0.23529411764705888;otp bank;united states marine corps;FALSE
