db_id,sevM_id,label
dbpedia_2939,7.1m_1947,True
dbpedia_4424,7.1m_1457,True
dbpedia_4545,7.1m_1321,True
dbpedia_3410,7.1m_872,True
dbpedia_1346,7.1m_1174,True
dbpedia_5911,7.1m_224,True
dbpedia_3536,7.1m_751,True
dbpedia_5692,7.1m_1171,True
dbpedia_6005,7.1m_380,True
dbpedia_3281,7.1m_1736,True
dbpedia_3646,7.1m_1257,True
dbpedia_4796,7.1m_1507,True
dbpedia_718,7.1m_1405,True
dbpedia_4070,7.1m_244,True
dbpedia_5413,7.1m_375,True
dbpedia_987,7.1m_866,True
dbpedia_2713,7.1m_1049,True
dbpedia_1332,7.1m_1791,True
dbpedia_5371,7.1m_185,True
dbpedia_5050,7.1m_1438,True
dbpedia_5753,7.1m_144,True
dbpedia_6546,7.1m_1969,True
dbpedia_6600,7.1m_992,True
dbpedia_1568,7.1m_345,True
dbpedia_2082,7.1m_190,True
dbpedia_998,7.1m_196,True
dbpedia_2612,7.1m_985,True
dbpedia_311,7.1m_755,True
dbpedia_4114,7.1m_365,True
dbpedia_4559,7.1m_840,True
dbpedia_4016,7.1m_379,True
dbpedia_4267,7.1m_197,True
dbpedia_76,7.1m_122,True
dbpedia_2138,7.1m_1191,True
dbpedia_444,7.1m_1294,True
dbpedia_4415,7.1m_376,True
dbpedia_3452,7.1m_1039,True
dbpedia_700,7.1m_894,True
dbpedia_2741,7.1m_513,True
dbpedia_4877,7.1m_431,True
dbpedia_4585,7.1m_498,True
dbpedia_1836,7.1m_360,False
dbpedia_4919,7.1m_1824,False
dbpedia_4664,7.1m_490,False
dbpedia_4210,7.1m_1642,True
dbpedia_80,7.1m_360,False
dbpedia_6769,7.1m_1325,False
dbpedia_6719,7.1m_422,False
dbpedia_3688,7.1m_1033,False
dbpedia_2548,7.1m_360,False
dbpedia_6537,7.1m_133,True
dbpedia_190,7.1m_737,False
dbpedia_4517,7.1m_1196,False
dbpedia_6448,7.1m_490,False
dbpedia_2736,7.1m_268,False
dbpedia_3355,7.1m_800,False
dbpedia_1965,7.1m_316,False
dbpedia_3080,7.1m_316,False
dbpedia_4762,7.1m_734,False
dbpedia_2578,7.1m_800,False
dbpedia_6179,7.1m_360,False
dbpedia_4015,7.1m_938,False
dbpedia_6672,7.1m_1209,False
dbpedia_2898,7.1m_507,False
dbpedia_5107,7.1m_1250,False
dbpedia_668,7.1m_1699,False
dbpedia_3654,7.1m_813,False
dbpedia_2440,7.1m_422,False
dbpedia_466,7.1m_1393,True
dbpedia_983,7.1m_316,False
dbpedia_5373,7.1m_490,False
dbpedia_4559,7.1m_800,False
dbpedia_5219,7.1m_37,False
dbpedia_5823,7.1m_800,False
dbpedia_652,7.1m_37,False
dbpedia_4341,7.1m_734,False
dbpedia_4261,7.1m_490,False
dbpedia_3578,7.1m_1653,True
dbpedia_1004,7.1m_800,False
dbpedia_5573,7.1m_840,False
dbpedia_5219,7.1m_268,False
dbpedia_4837,7.1m_506,False
dbpedia_6229,7.1m_537,False
dbpedia_863,7.1m_923,False
dbpedia_4873,7.1m_981,False
dbpedia_651,7.1m_1700,False
dbpedia_6137,7.1m_275,False
dbpedia_5310,7.1m_664,False
dbpedia_360,7.1m_37,False
dbpedia_360,7.1m_268,False
dbpedia_1389,7.1m_1880,False
dbpedia_5219,7.1m_316,False
dbpedia_5078,7.1m_1947,False
dbpedia_987,7.1m_486,False
dbpedia_3467,7.1m_1370,False
dbpedia_2689,7.1m_1680,False
dbpedia_547,7.1m_866,False
dbpedia_893,7.1m_1699,False
dbpedia_3837,7.1m_173,False
dbpedia_1113,7.1m_1624,False
dbpedia_5367,7.1m_37,False
dbpedia_3584,7.1m_840,False
dbpedia_3506,7.1m_663,False
dbpedia_6682,7.1m_483,False
dbpedia_1314,7.1m_676,False
dbpedia_2702,7.1m_506,False
dbpedia_1458,7.1m_469,False
dbpedia_6179,7.1m_1402,False
dbpedia_6049,7.1m_632,False
dbpedia_1240,7.1m_1897,False
dbpedia_1641,7.1m_316,False
dbpedia_1854,7.1m_1544,False
dbpedia_1152,7.1m_1778,False
dbpedia_3935,7.1m_490,False
dbpedia_5522,7.1m_1033,False
dbpedia_4932,7.1m_1699,False
dbpedia_4400,7.1m_586,False
dbpedia_5455,7.1m_316,False
dbpedia_1182,7.1m_1880,False
dbpedia_6297,7.1m_1778,False
dbpedia_267,7.1m_37,False
dbpedia_4932,7.1m_268,False
dbpedia_1965,7.1m_916,False
dbpedia_3246,7.1m_486,False
dbpedia_4447,7.1m_480,True
dbpedia_6719,7.1m_1778,False
dbpedia_2067,7.1m_1699,False
dbpedia_2932,7.1m_1140,False
dbpedia_1771,7.1m_17,True
dbpedia_5456,7.1m_1876,True
dbpedia_5567,7.1m_1699,False
dbpedia_3808,7.1m_933,True
dbpedia_1314,7.1m_268,False
dbpedia_6328,7.1m_281,False
dbpedia_835,7.1m_485,True
dbpedia_5567,7.1m_1918,False
dbpedia_5021,7.1m_50,False
dbpedia_4664,7.1m_1918,False
dbpedia_6672,7.1m_866,False
dbpedia_6372,7.1m_938,False
dbpedia_6049,7.1m_1819,False
dbpedia_732,7.1m_810,False
dbpedia_6212,7.1m_796,False
dbpedia_796,7.1m_1377,False
dbpedia_475,7.1m_933,False
dbpedia_1559,7.1m_644,False
dbpedia_2145,7.1m_1751,False
dbpedia_5724,7.1m_117,False
dbpedia_233,7.1m_1733,False
dbpedia_2276,7.1m_316,False
dbpedia_2105,7.1m_1699,False
dbpedia_3005,7.1m_1880,False
dbpedia_3355,7.1m_268,False
dbpedia_6677,7.1m_316,False
dbpedia_2062,7.1m_734,False
dbpedia_3355,7.1m_37,False
dbpedia_1419,7.1m_149,False
dbpedia_3,7.1m_1699,False
dbpedia_1132,7.1m_490,False
dbpedia_2768,7.1m_490,False
dbpedia_2768,7.1m_1880,False
dbpedia_2578,7.1m_1033,False
dbpedia_3886,7.1m_1880,False
dbpedia_5805,7.1m_1699,False
dbpedia_4613,7.1m_800,False
dbpedia_6448,7.1m_1880,False
dbpedia_653,7.1m_268,False
dbpedia_5522,7.1m_316,False
dbpedia_2359,7.1m_1033,False
dbpedia_3,7.1m_1033,False
dbpedia_2364,7.1m_1699,False
dbpedia_6385,7.1m_1880,False
dbpedia_1389,7.1m_1033,False
dbpedia_2210,7.1m_490,False
dbpedia_2910,7.1m_843,False
dbpedia_25,7.1m_1140,False
dbpedia_2011,7.1m_486,False
dbpedia_3400,7.1m_1782,False
dbpedia_6645,7.1m_1680,False
dbpedia_3584,7.1m_916,False
dbpedia_4873,7.1m_866,False
dbpedia_6151,7.1m_938,False
dbpedia_3540,7.1m_933,False
dbpedia_5809,7.1m_1380,False
dbpedia_2300,7.1m_130,False
dbpedia_3359,7.1m_1819,False
dbpedia_6119,7.1m_429,False
dbpedia_4031,7.1m_1402,False
dbpedia_6765,7.1m_1797,False
dbpedia_1524,7.1m_1394,False
dbpedia_778,7.1m_1386,False
dbpedia_729,7.1m_1789,False
dbpedia_1085,7.1m_288,False
dbpedia_5843,7.1m_396,False
dbpedia_2271,7.1m_1040,False
dbpedia_6770,7.1m_89,False
dbpedia_951,7.1m_596,False
dbpedia_6049,7.1m_1196,False
dbpedia_5125,7.1m_829,False
dbpedia_5766,7.1m_35,False
dbpedia_6408,7.1m_660,False
dbpedia_1202,7.1m_741,False
dbpedia_2553,7.1m_1110,False
dbpedia_934,7.1m_1965,False
dbpedia_773,7.1m_1797,False
dbpedia_4675,7.1m_280,False
dbpedia_6733,7.1m_776,False
dbpedia_2856,7.1m_1288,False
dbpedia_972,7.1m_862,False
dbpedia_3790,7.1m_189,False
dbpedia_5102,7.1m_486,False
dbpedia_4620,7.1m_520,False
dbpedia_3759,7.1m_966,False
dbpedia_6190,7.1m_1014,False
dbpedia_6479,7.1m_750,False
dbpedia_5356,7.1m_1799,False
dbpedia_3430,7.1m_1725,False
dbpedia_1293,7.1m_1036,False
dbpedia_582,7.1m_539,False
dbpedia_157,7.1m_1381,False
dbpedia_2816,7.1m_291,False
dbpedia_4604,7.1m_1251,False
dbpedia_4332,7.1m_1711,False
dbpedia_5041,7.1m_1614,False
dbpedia_3907,7.1m_1869,False
dbpedia_524,7.1m_1720,False
dbpedia_4613,7.1m_513,False
dbpedia_1287,7.1m_1670,False
dbpedia_6033,7.1m_1432,False
dbpedia_3636,7.1m_382,False
dbpedia_4377,7.1m_847,False
dbpedia_4424,7.1m_241,False
dbpedia_1970,7.1m_1778,False
dbpedia_2840,7.1m_514,False
dbpedia_5361,7.1m_276,False
dbpedia_5105,7.1m_359,False
dbpedia_1737,7.1m_774,False
dbpedia_5268,7.1m_1338,False
dbpedia_1552,7.1m_1276,False
dbpedia_5552,7.1m_1785,False
dbpedia_4308,7.1m_609,False
dbpedia_2602,7.1m_416,False
dbpedia_6643,7.1m_1429,False
dbpedia_6438,7.1m_969,False
dbpedia_2124,7.1m_790,False
dbpedia_1403,7.1m_729,False
dbpedia_4073,7.1m_25,False
dbpedia_121,7.1m_996,False
dbpedia_5970,7.1m_1973,False
dbpedia_2674,7.1m_1431,False
dbpedia_4208,7.1m_1355,False
dbpedia_1650,7.1m_1116,False
dbpedia_6758,7.1m_1377,False
dbpedia_1936,7.1m_378,False
dbpedia_5876,7.1m_1005,False
dbpedia_6620,7.1m_1493,False
dbpedia_3773,7.1m_1954,False
dbpedia_6887,7.1m_1246,False
dbpedia_1401,7.1m_140,False
dbpedia_4382,7.1m_981,False
dbpedia_3547,7.1m_1521,False
dbpedia_1635,7.1m_467,False
dbpedia_556,7.1m_941,False
dbpedia_4934,7.1m_3,False
dbpedia_1745,7.1m_385,False
dbpedia_3056,7.1m_1710,False
dbpedia_1141,7.1m_1041,False
dbpedia_4521,7.1m_1293,False
dbpedia_2212,7.1m_115,False
dbpedia_1435,7.1m_729,False
dbpedia_3929,7.1m_265,False
dbpedia_6795,7.1m_882,False
dbpedia_5695,7.1m_1535,False
dbpedia_2390,7.1m_1755,False
dbpedia_6671,7.1m_1365,False
dbpedia_3814,7.1m_1451,False
dbpedia_4818,7.1m_478,False
dbpedia_55,7.1m_1647,False
dbpedia_6481,7.1m_687,False
dbpedia_3536,7.1m_1733,False
dbpedia_391,7.1m_1995,False
dbpedia_6192,7.1m_82,False
dbpedia_789,7.1m_1938,False
dbpedia_3676,7.1m_1300,False
dbpedia_3010,7.1m_961,False
dbpedia_5655,7.1m_1637,False
dbpedia_6332,7.1m_306,False
dbpedia_1090,7.1m_188,False
dbpedia_542,7.1m_440,False
dbpedia_6063,7.1m_388,False
dbpedia_2767,7.1m_1285,False
dbpedia_2386,7.1m_1861,False
dbpedia_4402,7.1m_447,False
dbpedia_737,7.1m_631,False
dbpedia_3411,7.1m_678,False
dbpedia_2656,7.1m_1225,False
dbpedia_2148,7.1m_1451,False
dbpedia_5565,7.1m_1178,False
dbpedia_5842,7.1m_1387,False
dbpedia_2535,7.1m_1005,False
dbpedia_4673,7.1m_1990,False
dbpedia_3991,7.1m_1166,False
dbpedia_4081,7.1m_1952,False
dbpedia_3958,7.1m_1794,False
dbpedia_6869,7.1m_922,False
dbpedia_922,7.1m_1097,False
dbpedia_3197,7.1m_594,False
dbpedia_4017,7.1m_773,False
dbpedia_1410,7.1m_1541,False
dbpedia_4446,7.1m_1553,False
dbpedia_3238,7.1m_249,False
dbpedia_3196,7.1m_332,False
dbpedia_4794,7.1m_1972,False
dbpedia_4892,7.1m_273,False
dbpedia_889,7.1m_270,False
dbpedia_5742,7.1m_1968,False
dbpedia_943,7.1m_903,False
dbpedia_868,7.1m_1626,False
dbpedia_5941,7.1m_1471,False
dbpedia_5824,7.1m_558,False
dbpedia_2356,7.1m_1168,False
dbpedia_6804,7.1m_1902,False
dbpedia_1820,7.1m_1979,False
dbpedia_1388,7.1m_339,False
dbpedia_693,7.1m_1980,False
dbpedia_6116,7.1m_1894,False
dbpedia_1242,7.1m_78,False
dbpedia_1329,7.1m_1615,False
dbpedia_843,7.1m_875,False
dbpedia_510,7.1m_1131,False
dbpedia_2773,7.1m_192,False
dbpedia_2697,7.1m_1943,False
dbpedia_1380,7.1m_1142,False
dbpedia_5926,7.1m_1742,False
dbpedia_4512,7.1m_1231,False
dbpedia_5852,7.1m_724,False
dbpedia_5629,7.1m_895,False
dbpedia_5892,7.1m_1075,False
dbpedia_3925,7.1m_1960,False
dbpedia_6798,7.1m_7,False
dbpedia_4284,7.1m_1465,False
dbpedia_2118,7.1m_470,False
dbpedia_6349,7.1m_1987,False
dbpedia_1301,7.1m_826,False
dbpedia_1676,7.1m_1859,False
dbpedia_15,7.1m_936,False
dbpedia_757,7.1m_1997,False
dbpedia_5323,7.1m_1661,False
dbpedia_5706,7.1m_1338,False
dbpedia_1980,7.1m_315,False
dbpedia_2343,7.1m_1693,False
dbpedia_5426,7.1m_1988,False
dbpedia_3991,7.1m_996,False
dbpedia_4191,7.1m_483,False
dbpedia_44,7.1m_433,False
dbpedia_1265,7.1m_1225,False
dbpedia_2495,7.1m_188,False
dbpedia_3469,7.1m_1077,False
dbpedia_6211,7.1m_1669,False
dbpedia_5357,7.1m_64,False
dbpedia_871,7.1m_147,False
dbpedia_1596,7.1m_855,False
dbpedia_3523,7.1m_980,False
dbpedia_3360,7.1m_318,False
dbpedia_4592,7.1m_1249,False
dbpedia_4007,7.1m_1646,False
dbpedia_2171,7.1m_398,False
dbpedia_5311,7.1m_1128,False
dbpedia_3057,7.1m_1089,False
dbpedia_509,7.1m_1022,False
dbpedia_4341,7.1m_1939,False
dbpedia_1140,7.1m_703,False
dbpedia_6261,7.1m_1191,False
dbpedia_635,7.1m_1424,False
dbpedia_4351,7.1m_1731,False
dbpedia_4886,7.1m_619,False
dbpedia_5229,7.1m_1958,False
dbpedia_2100,7.1m_46,False
dbpedia_577,7.1m_1619,False
dbpedia_3895,7.1m_1614,False
dbpedia_3262,7.1m_1470,False
dbpedia_2700,7.1m_103,False
dbpedia_3930,7.1m_1765,False
dbpedia_5828,7.1m_87,False
dbpedia_3443,7.1m_1651,False
dbpedia_1501,7.1m_1457,False
dbpedia_3820,7.1m_1208,False
dbpedia_3391,7.1m_768,False
dbpedia_3664,7.1m_1099,False
dbpedia_5584,7.1m_1620,False
dbpedia_213,7.1m_273,False
dbpedia_5652,7.1m_462,False
dbpedia_1315,7.1m_1863,False
dbpedia_2834,7.1m_86,False
dbpedia_2045,7.1m_1238,False
dbpedia_1086,7.1m_1889,False
dbpedia_3088,7.1m_1131,False
dbpedia_4718,7.1m_1846,False
dbpedia_2553,7.1m_1541,False
dbpedia_1765,7.1m_217,False
dbpedia_5729,7.1m_270,False
dbpedia_4013,7.1m_1801,False
dbpedia_5496,7.1m_822,False
dbpedia_4335,7.1m_751,False
dbpedia_2565,7.1m_1020,False
dbpedia_2880,7.1m_1488,False
dbpedia_388,7.1m_595,False
dbpedia_4749,7.1m_1729,False
dbpedia_5913,7.1m_594,False
dbpedia_3058,7.1m_129,False
dbpedia_2753,7.1m_158,False
dbpedia_3784,7.1m_1647,False
dbpedia_2501,7.1m_1048,False
dbpedia_4338,7.1m_1065,False
dbpedia_589,7.1m_1369,False
dbpedia_3743,7.1m_1862,False
dbpedia_751,7.1m_455,False
dbpedia_6000,7.1m_315,False
dbpedia_1593,7.1m_1601,False
dbpedia_602,7.1m_1126,False
dbpedia_5416,7.1m_51,False
dbpedia_1273,7.1m_631,False
dbpedia_4388,7.1m_116,False
dbpedia_1366,7.1m_1442,False
dbpedia_1880,7.1m_1467,False
dbpedia_3357,7.1m_877,False
dbpedia_6145,7.1m_1357,False
dbpedia_5133,7.1m_1650,False
dbpedia_5406,7.1m_500,False
dbpedia_897,7.1m_448,False
dbpedia_3176,7.1m_1868,False
dbpedia_1007,7.1m_722,False
dbpedia_5656,7.1m_434,False
dbpedia_4029,7.1m_15,False
dbpedia_311,7.1m_1709,False
dbpedia_5203,7.1m_443,False
dbpedia_135,7.1m_207,False
dbpedia_2871,7.1m_293,False
