ft_id,db_id,LevScore,ft,dbpedia,label
FT_ID_1555,dbpedia_3131,1.0,globalfoundries,globalfoundries,True
FT_ID_613,dbpedia_781,1.0,delta air lines,delta air lines,True
FT_ID_466,dbpedia_3025,1.0,jd.com,jd.com,True
FT_ID_1503,dbpedia_2820,1.0,zebra technologies,zebra technologies,True
FT_ID_428,dbpedia_3161,1.0,imperial brands,imperial brands,True
FT_ID_1011,dbpedia_322,1.0,constellation brands,constellation brands,True
FT_ID_390,dbpedia_865,1.0,pioneer natural resources,pioneer natural resources,True
FT_ID_439,dbpedia_742,1.0,principal financial group,principal financial group,True
FT_ID_599,dbpedia_3385,1.0,boston scientific,boston scientific,True
FT_ID_1507,dbpedia_3211,1.0,a2a,a2a,True
FT_ID_1238,dbpedia_135,1.0,synopsys,synopsys,True
FT_ID_1266,dbpedia_3535,1.0,kohl's,kohl's,True
FT_ID_1928,dbpedia_5378,1.0,costar group,costar group,True
FT_ID_1506,dbpedia_6798,1.0,hyundai glovis,hyundai glovis,True
FT_ID_1224,dbpedia_6456,1.0,turkish airlines,turkish airlines,True
FT_ID_972,dbpedia_2662,1.0,sasol,sasol,True
FT_ID_1336,dbpedia_1731,1.0,tokyo gas,tokyo gas,True
FT_ID_1050,dbpedia_3027,1.0,bankinter,bankinter,True
FT_ID_1901,dbpedia_6259,1.0,gold fields,gold fields,True
FT_ID_266,dbpedia_3062,1.0,mastercard,mastercard,True
FT_ID_1536,dbpedia_6675,1.0,alliant energy,alliant energy,True
FT_ID_1716,dbpedia_4311,1.0,live nation entertainment,live nation entertainment,True
FT_ID_1342,dbpedia_5103,1.0,aurubis,aurubis,True
FT_ID_1063,dbpedia_3209,1.0,telenor,telenor,True
FT_ID_112,dbpedia_4090,1.0,bristol myers squibb,bristol myers squibb,True
FT_ID_1664,dbpedia_1353,1.0,autodesk,autodesk,True
FT_ID_1634,dbpedia_1009,1.0,lg household & health care,lg household & health care,True
FT_ID_1727,dbpedia_4873,1.0,shaw communications,shaw communications,True
FT_ID_1706,dbpedia_2172,1.0,zalando,zalando,True
FT_ID_35,dbpedia_1325,1.0,morgan stanley,morgan stanley,True
FT_ID_683,dbpedia_4271,1.0,thomson reuters,thomson reuters,True
FT_ID_484,dbpedia_636,1.0,maybank,maybank,True
FT_ID_1376,dbpedia_1570,1.0,nexon,nexon,True
FT_ID_89,dbpedia_403,1.0,american international group,american international group,True
FT_ID_1231,dbpedia_5446,1.0,alstom,alstom,True
FT_ID_1723,dbpedia_6741,1.0,baywa,baywa,True
FT_ID_1343,dbpedia_1490,1.0,garmin,garmin,True
FT_ID_329,dbpedia_3532,1.0,danone,danone,True
FT_ID_745,dbpedia_2480,1.0,pkn orlen,pkn orlen,True
FT_ID_163,dbpedia_3321,1.0,deutsche post,deutsche post,True
FT_ID_1204,dbpedia_6444,1.0,leidos,leidos,True
FT_ID_206,dbpedia_1236,1.0,gilead sciences,gilead sciences,True
FT_ID_1051,dbpedia_6650,0.9743589743589743,teva pharmaceutical,teva pharmaceuticals,False
FT_ID_415,dbpedia_2794,0.9473684210526316,rwe group,rewe group,False
FT_ID_1936,dbpedia_5043,0.9411764705882353,tmx group,tx group,False
FT_ID_98,dbpedia_2660,0.9230769230769231,sanofi ,sanofi,False
FT_ID_256,dbpedia_80,0.9189189189189189,kb financial group,fbl financial group,False
FT_ID_1362,dbpedia_3494,0.9166666666666666,brown-forman,brown–forman,False
FT_ID_1451,dbpedia_6392,0.9090909090909091,ss&c technologies,sys technologies,False
FT_ID_1281,dbpedia_2387,0.9032258064516129,banco de sabadell,banco sabadell,False
FT_ID_1436,dbpedia_1076,0.9032258064516129,thor industries,toray industries,False
FT_ID_1021,dbpedia_3274,0.9019607843137255,ia financial corporation,doral financial corporation,False
FT_ID_1002,dbpedia_5837,0.9,eletrobrás,eletrobras,False
FT_ID_1121,dbpedia_4474,0.9,west fraser timber co.,west fraser timber,False
FT_ID_57,dbpedia_3467,0.9,taiwan semiconductor,varian semiconductor,False
FT_ID_697,dbpedia_1222,0.9,s&p global,wsp global,False
FT_ID_630,dbpedia_514,0.896551724137931,deutsche boerse,deutsche börse,False
FT_ID_1975,dbpedia_1836,0.8888888888888888,jb financial group,op financial group,False
FT_ID_413,dbpedia_1964,0.8888888888888888,ctbc financial,atb financial,False
FT_ID_1316,dbpedia_3162,0.88,international airlines,international airlines group,False
FT_ID_356,dbpedia_427,0.88,gree electric appliances,gome electrical appliances,False
FT_ID_1056,dbpedia_3332,0.875,3i group,ei group,False
FT_ID_1212,dbpedia_2201,0.875,experian,nexperia,False
FT_ID_1975,dbpedia_463,0.8717948717948718,jb financial group,banif financial group,False
FT_ID_546,dbpedia_2087,0.8717948717948718,magna international,harman international,False
FT_ID_1500,dbpedia_771,0.8695652173913043,nu holdings,uti holdings,False
FT_ID_1436,dbpedia_3602,0.8666666666666667,thor industries,topy industries,False
FT_ID_1940,dbpedia_6443,0.8648648648648649,asm international,haynes international,False
FT_ID_1877,dbpedia_3354,0.8648648648648649,wesco international,tyco international,False
FT_ID_1690,dbpedia_2011,0.8648648648648649,sba communications,axis communications,False
FT_ID_1632,dbpedia_1261,0.8636363636363636,interactive brokers group,interactive brokers,False
FT_ID_56,dbpedia_3907,0.8571428571428572,santander,santander uk,False
FT_ID_1182,dbpedia_5137,0.8571428571428572,sto express,sf express,False
FT_ID_1163,dbpedia_2176,0.8571428571428572,cj corporation,zi corporation,False
FT_ID_631,dbpedia_3801,0.8571428571428572,labcorp,tabcorp,False
FT_ID_213,dbpedia_5611,0.8571428571428572,takeda pharmaceutical,otsuka pharmaceutical,False
FT_ID_1983,dbpedia_1830,0.8571428571428572,unity software,nsite software,False
FT_ID_1816,dbpedia_2661,0.8571428571428572,sartorius,sartorius ag,False
FT_ID_995,dbpedia_4892,0.8571428571428572,aercap holdings,ezra holdings,False
FT_ID_596,dbpedia_2079,0.8571428571428572,rogers communications,hearst communications,False
FT_ID_1017,dbpedia_5729,0.8571428571428572,agc,agco,False
FT_ID_1021,dbpedia_438,0.8518518518518519,ia financial corporation,tompkins financial corporation,False
FT_ID_1051,dbpedia_5611,0.85,teva pharmaceutical,otsuka pharmaceutical,False
FT_ID_1118,dbpedia_6179,0.85,meritz financial group,ia financial group,False
FT_ID_309,dbpedia_4796,0.85,american electric,american electric power,False
FT_ID_1537,dbpedia_1256,0.8484848484848485,sinopac financial,intact financial,False
FT_ID_459,dbpedia_1076,0.8484848484848485,toyota industries,toray industries,False
FT_ID_1524,dbpedia_1761,0.8461538461538461,bank of india,bank of china,False
FT_ID_38,dbpedia_4507,0.8461538461538461,bnp paribas,bnp paribas cib,False
FT_ID_432,dbpedia_5268,0.8444444444444444,national bank of canada,national bank of kenya,False
FT_ID_822,dbpedia_2652,0.8421052631578947,absa group,sas group,False
FT_ID_886,dbpedia_5988,0.8421052631578947,cez group,cbre group,False
FT_ID_415,dbpedia_5988,0.8421052631578947,rwe group,cbre group,False
FT_ID_1877,dbpedia_6408,0.8421052631578947,wesco international,tower international,False
FT_ID_185,dbpedia_2548,0.8421052631578947,mizuho financial,mizuho financial group,False
FT_ID_831,dbpedia_651,0.8421052631578947,cms energy,tc energy,False
FT_ID_1656,dbpedia_1239,0.8421052631578947,bawag group,bg group,False
FT_ID_535,dbpedia_1828,0.8421052631578947,cbre group,crt group,False
FT_ID_1279,dbpedia_5519,0.8421052631578947,yara international,baxter international,False
FT_ID_72,dbpedia_3852,0.8421052631578947,aia group,akij group,False
FT_ID_1163,dbpedia_5373,0.8387096774193549,cj corporation,cerus corporation,False
FT_ID_1269,dbpedia_2214,0.8372093023255813,vienna insurance group,uniqa insurance group,False
FT_ID_125,dbpedia_6672,0.8372093023255813,charter communications,rogers communications,False
FT_ID_79,dbpedia_2214,0.8372093023255813,zurich insurance group,uniqa insurance group,False
FT_ID_1279,dbpedia_3354,0.8333333333333334,yara international,tyco international,False
FT_ID_861,dbpedia_3959,0.8333333333333334,roper technologies,tyler technologies,False
FT_ID_1503,dbpedia_1120,0.8333333333333334,zebra technologies,exela technologies,False
FT_ID_1475,dbpedia_4080,0.8333333333333334,ventas,vestas,False
FT_ID_1014,dbpedia_6033,0.8333333333333334,yango group,dangote group,False
FT_ID_1988,dbpedia_3598,0.8333333333333334,efg international,fosun international,False
FT_ID_732,dbpedia_1039,0.8333333333333334,clp holdings,aoc holdings,False
FT_ID_1690,dbpedia_547,0.8333333333333334,sba communications,rlg communications,False
FT_ID_734,dbpedia_4954,0.8333333333333334,singtel,sitel,False
FT_ID_1503,dbpedia_3959,0.8333333333333334,zebra technologies,tyler technologies,False
FT_ID_1503,dbpedia_4783,0.8333333333333334,zebra technologies,roper technologies,False
FT_ID_1877,dbpedia_3816,0.8333333333333334,wesco international,asm international,False
FT_ID_587,dbpedia_302,0.8292682926829268,baxter international,brinker international,False
FT_ID_587,dbpedia_5460,0.8292682926829268,baxter international,bernina international,False
FT_ID_1421,dbpedia_6711,0.8275862068965517,agnc investment,gp investments,False
FT_ID_1163,dbpedia_3,0.8275862068965517,cj corporation,apa corporation,False
FT_ID_518,dbpedia_1964,0.8275862068965517,intact financial,atb financial,False
FT_ID_1312,dbpedia_47,0.8275862068965517,arista networks,aviat networks,False
FT_ID_389,dbpedia_4590,0.8275862068965517,american tower,american stores,False
FT_ID_313,dbpedia_4648,0.8275862068965517,eog resources,antero resources,False
FT_ID_995,dbpedia_309,0.8275862068965517,aercap holdings,capri holdings,False
FT_ID_1163,dbpedia_1965,0.8275862068965517,cj corporation,amr corporation,False
FT_ID_1210,dbpedia_3010,0.8275862068965517,transdigm group,transcom group,False
FT_ID_432,dbpedia_2786,0.8260869565217391,national bank of canada,national bank of malawi,False
FT_ID_1056,dbpedia_6386,0.8235294117647058,3i group,six group,False
FT_ID_518,dbpedia_3561,0.8235294117647058,intact financial,wintrust financial,False
FT_ID_337,dbpedia_2350,0.8235294117647058,fresenius,friesens,False
FT_ID_411,dbpedia_535,0.8235294117647058,bt group,ict group,False
FT_ID_411,dbpedia_3283,0.8235294117647058,bt group,seb group,False
FT_ID_1056,dbpedia_5879,0.8235294117647058,3i group,gfi group,False
FT_ID_1712,dbpedia_2689,0.8235294117647058,sumec corporation,disco corporation,False
FT_ID_1452,dbpedia_3159,0.8235294117647058,adani enterprises,icahn enterprises,False
FT_ID_63,dbpedia_5587,0.8235294117647058,bmw group,om group,False
FT_ID_1712,dbpedia_6677,0.8235294117647058,sumec corporation,amrep corporation,False
FT_ID_214,dbpedia_4626,0.8235294117647058,philip morris international,philip morris operations,False
FT_ID_411,dbpedia_3684,0.8235294117647058,bt group,otb group,False
FT_ID_72,dbpedia_3332,0.8235294117647058,aia group,ei group,False
FT_ID_846,dbpedia_2630,0.8235294117647058,mtn group,bt group,False
FT_ID_411,dbpedia_3150,0.8235294117647058,bt group,bfs group,False
FT_ID_386,dbpedia_1150,0.8235294117647058,omv group,m7 group,False
FT_ID_846,dbpedia_1150,0.8235294117647058,mtn group,m7 group,False
FT_ID_1936,dbpedia_2441,0.8235294117647058,tmx group,mk group,False
FT_ID_153,dbpedia_1789,0.8235294117647058,hdfc bank,fbc bank,False
FT_ID_1988,dbpedia_863,0.8235294117647058,efg international,rpm international,False
FT_ID_219,dbpedia_1749,0.8235294117647058,travelers,travelex,False
FT_ID_1690,dbpedia_6672,0.8205128205128205,sba communications,rogers communications,False
FT_ID_108,dbpedia_454,0.8205128205128205,raytheon technologies,trane technologies,False
FT_ID_600,dbpedia_3598,0.8205128205128205,edison international,fosun international,False
FT_ID_587,dbpedia_2278,0.8205128205128205,baxter international,belle international,False
FT_ID_653,dbpedia_5700,0.8181818181818181,dte energy,talen energy,False
FT_ID_653,dbpedia_6429,0.8181818181818181,dte energy,devon energy,False
FT_ID_1440,dbpedia_374,0.8181818181818181,kion group,winton group,False
FT_ID_481,dbpedia_1691,0.8181818181818181,hana financial group,american financial group,False
FT_ID_1014,dbpedia_3439,0.8181818181818181,yango group,anora group,False
FT_ID_233,dbpedia_4208,0.8163265306122449,canadian natural resources,alpha natural resources,False
FT_ID_482,dbpedia_6798,0.8148148148148149,hyundai mobis,hyundai glovis,False
FT_ID_389,dbpedia_1688,0.8148148148148149,american tower,american well,False
FT_ID_138,dbpedia_5371,0.8148148148148149,caterpillar,caterpillar inc.,False
FT_ID_1574,dbpedia_4911,0.8148148148148149,hna technology,m3 technology,False
FT_ID_1587,dbpedia_4911,0.8148148148148149,dxc technology,m3 technology,False
FT_ID_194,dbpedia_1056,0.8148148148148149,hca healthcare,ge healthcare,False
FT_ID_1712,dbpedia_1965,0.8125,sumec corporation,amr corporation,False
FT_ID_1371,dbpedia_3744,0.8125,sonic healthcare,iasis healthcare,False
FT_ID_1163,dbpedia_4224,0.8125,cj corporation,chiron corporation,False
FT_ID_1712,dbpedia_300,0.8125,sumec corporation,cbs corporation,False
FT_ID_1163,dbpedia_2861,0.8125,cj corporation,unocal corporation,False
FT_ID_1712,dbpedia_2231,0.8125,sumec corporation,cpc corporation,False
FT_ID_1163,dbpedia_6414,0.8125,cj corporation,avtech corporation,False
FT_ID_1300,dbpedia_5461,0.8125,china fortune land development,china housing and land development,False
FT_ID_360,dbpedia_1047,0.8108108108108107,wilmar international,atn international,False
FT_ID_596,dbpedia_3246,0.8108108108108107,rogers communications,ps communication,False
FT_ID_1171,dbpedia_4692,0.8108108108108107,caesars entertainment,cj entertainment,False
FT_ID_360,dbpedia_4015,0.8108108108108107,wilmar international,rsm international,False
FT_ID_1219,dbpedia_6012,0.8108108108108107,carnival corporation,civeo corporation,False
FT_ID_1877,dbpedia_3927,0.8108108108108107,wesco international,aten international,False
FT_ID_588,dbpedia_6662,0.8108108108108107,fosun international,smit international,False
FT_ID_1036,dbpedia_336,0.8108108108108107,bio-rad laboratories,core laboratories,False
FT_ID_622,dbpedia_2435,0.8108108108108107,hermès international,hub international,False
FT_ID_1279,dbpedia_1130,0.8108108108108107,yara international,finca international,False
FT_ID_1877,dbpedia_6662,0.8108108108108107,wesco international,smit international,False
FT_ID_213,dbpedia_3802,0.8095238095238095,takeda pharmaceutical,taisho pharmaceutical,False
FT_ID_184,dbpedia_2278,0.8095238095238095,honeywell international,belle international,False
FT_ID_1910,dbpedia_5384,0.8095238095238095,commercial metals,commercial metals company,False
FT_ID_1114,dbpedia_928,0.8095238095238095,siam commercial bank,united commercial bank,False
FT_ID_587,dbpedia_3404,0.8095238095238095,baxter international,navistar international,False
FT_ID_278,dbpedia_1691,0.8085106382978724,shinhan financial group,american financial group,False
FT_ID_278,dbpedia_4031,0.8085106382978724,shinhan financial group,stancorp financial group,False
FT_ID_800,dbpedia_5150,0.8076923076923077,samsung fire & marine,samsung fire & marine insurance,False
FT_ID_358,dbpedia_484,0.2962962962962963,dollar general,jugopetrol ad,False
FT_ID_514,dbpedia_4314,0.2962962962962963,ally financial,iac (company),False
FT_ID_70,dbpedia_6001,0.2962962962962963,china life insurance,capreit,False
FT_ID_1243,dbpedia_2691,0.2962962962962963,kobe steel,eps elektrokosmet,False
FT_ID_850,dbpedia_2462,0.2941176470588235,genuine parts,slumberland furniture,False
FT_ID_1303,dbpedia_6084,0.2941176470588235,jacobs engineering,chevys fresh mex,False
FT_ID_1139,dbpedia_5704,0.2941176470588235,korea investment holdings,technogym,False
FT_ID_1412,dbpedia_4935,0.29268292682926833,beijing capital development,nova chemicals,False
FT_ID_263,dbpedia_5385,0.29268292682926833,air liquide,companhia siderúrgica nacional,False
FT_ID_1982,dbpedia_871,0.29268292682926833,china petroleum engineering,planar systems,False
FT_ID_1826,dbpedia_2275,0.29166666666666663,yunnan copper co. ltd.,jimmy choo (fashion house),False
FT_ID_1473,dbpedia_6486,0.2857142857142857,brookfield renewable,blue hills bank,False
FT_ID_5,dbpedia_305,0.2857142857142857,amazon,cbb bank,False
FT_ID_1612,dbpedia_6087,0.2857142857142857,"lg innotek co.,",china nepstar,False
FT_ID_608,dbpedia_2417,0.2857142857142857,stanley black & decker,faber-castell,False
FT_ID_638,dbpedia_5032,0.2857142857142857,formosa petrochemical,metbank,False
FT_ID_1257,dbpedia_5113,0.2857142857142857,raizen,brf s.a.,False
FT_ID_1084,dbpedia_1216,0.2857142857142857,tongwei,vion nv,False
FT_ID_309,dbpedia_6708,0.2857142857142857,american electric,freddie mac,False
FT_ID_1223,dbpedia_4110,0.2857142857142857,shanghai electric group,consolidated edison,False
FT_ID_1624,dbpedia_5786,0.2857142857142857,k+s,suse,False
FT_ID_871,dbpedia_372,0.2857142857142857,assa abloy,wilo,False
FT_ID_1697,dbpedia_2516,0.2857142857142857,piraeus financial holdings,insel air,False
FT_ID_1181,dbpedia_6329,0.27586206896551724,angang steel,moody's analytics,False
FT_ID_1861,dbpedia_3685,0.27586206896551724,kyndryl holdings,olympic steel,False
FT_ID_983,dbpedia_4980,0.27586206896551724,arrow electronics,virgin media,False
FT_ID_985,dbpedia_6679,0.2727272727272727,tenet healthcare,ametek,False
FT_ID_895,dbpedia_6036,0.2727272727272727,e-mart ,altice portugal,False
FT_ID_899,dbpedia_3059,0.2702702702702703,annaly capital management,"matson, inc.",False
FT_ID_1965,dbpedia_3122,0.2702702702702703,zall smart commerce group,papel prensa,False
FT_ID_591,dbpedia_6,0.2702702702702703,parker-hannifin,mondelez international,False
FT_ID_932,dbpedia_3584,0.2702702702702703,vestas wind systems,amarin corporation,False
FT_ID_222,dbpedia_4675,0.2666666666666667,mcdonald's,veeco,False
FT_ID_1603,dbpedia_1416,0.2666666666666667,workday,internap,False
FT_ID_1447,dbpedia_3133,0.2666666666666667,wistron,givaudan,False
FT_ID_37,dbpedia_283,0.2666666666666667,hsbc holdings,upstart (company),False
FT_ID_1194,dbpedia_5910,0.2666666666666667,suning.com,luvos,False
FT_ID_1385,dbpedia_6136,0.2666666666666667,shanxi taigang stainless,bankia,False
FT_ID_1519,dbpedia_2668,0.2666666666666667,wharf (holdings),foster wheeler,False
FT_ID_107,dbpedia_4837,0.2666666666666667,shanghai pudong development,gw pharmaceuticals,False
FT_ID_1108,dbpedia_3940,0.2666666666666667,j.b. hunt transport services,erm (consultancy),False
FT_ID_1272,dbpedia_2516,0.2666666666666667,copart,insel air,False
FT_ID_777,dbpedia_4171,0.2666666666666667,amphenol,tenaris,False
FT_ID_295,dbpedia_2331,0.2666666666666667,lyondellbasell industries,anite,False
FT_ID_1662,dbpedia_571,0.2666666666666667,kingboard holdings,orange egypt,False
FT_ID_1341,dbpedia_5855,0.2666666666666667,stonex group,levi strauss & co.,False
FT_ID_1654,dbpedia_6866,0.26315789473684215,wacker chemie,insurance australia group,False
FT_ID_540,dbpedia_3976,0.26315789473684215,yankuang energy group,ultimate software,False
FT_ID_134,dbpedia_4005,0.26086956521739135,abbott laboratories,philip morris international,False
FT_ID_77,dbpedia_6448,0.26086956521739135,siemens,line corporation,False
FT_ID_1499,dbpedia_2247,0.26086956521739135,borgwarner,centertelecom,False
FT_ID_1050,dbpedia_1951,0.26086956521739135,bankinter,tarkett d.o.o.,False
FT_ID_116,dbpedia_6613,0.26086956521739135,bank of montreal,coolpad,False
FT_ID_1498,dbpedia_3586,0.26086956521739135,sinotruk hong kong,big w,False
FT_ID_1068,dbpedia_5400,0.25806451612903225,avalonbay communities,jarvis plc,False
FT_ID_889,dbpedia_3997,0.25806451612903225,universal music group,mynewsdesk,False
FT_ID_203,dbpedia_5997,0.25806451612903225,saic motor,ck hutchison holdings,False
FT_ID_1215,dbpedia_5005,0.2564102564102564,inner mongolia baotou steel,inchcape plc,False
FT_ID_1862,dbpedia_6158,0.2564102564102564,cosco shipping development,fedex express,False
FT_ID_1283,dbpedia_6012,0.25,popular,civeo corporation,False
FT_ID_1643,dbpedia_4214,0.25,meritz securities,adva optical networking,False
FT_ID_1687,dbpedia_3520,0.25,doosan,dahabshiil,False
FT_ID_187,dbpedia_3258,0.25,arcelormittal,alexander's,False
FT_ID_653,dbpedia_2782,0.25,dte energy,petrom,False
FT_ID_620,dbpedia_3480,0.25,eversource energy,viatris,False
FT_ID_244,dbpedia_4545,0.25,dbs,ahold,False
FT_ID_1613,dbpedia_6680,0.25,nisource,amyris (company),False
FT_ID_567,dbpedia_2686,0.25,swedbank,delek us,False
FT_ID_1799,dbpedia_3486,0.25,tosoh,okd,False
FT_ID_748,dbpedia_5203,0.25,formosa plastics,havertys,False
FT_ID_862,dbpedia_5161,0.25,shanghai international port,serco,False
FT_ID_1387,dbpedia_846,0.24489795918367352,wuestenrot & wuerttembergische,mytilineos holdings,False
FT_ID_1997,dbpedia_3771,0.24390243902439024,sichuan changhong electric,bertel o. steen,False
FT_ID_24,dbpedia_6831,0.24242424242424243,volkswagen group,ferro corporation,False
FT_ID_1945,dbpedia_5535,0.24242424242424243,metropolitan bank & trust,three uk,False
FT_ID_676,dbpedia_6843,0.24242424242424243,republic services,pphe hotel group,False
FT_ID_1867,dbpedia_6481,0.24242424242424243,pt saratoga investama sedaya,geely,False
FT_ID_1869,dbpedia_1494,0.24242424242424243,e-l financial,hokuetsu corporation,False
FT_ID_855,dbpedia_5568,0.24137931034482762,china international travel service,malakoff (power company),False
FT_ID_939,dbpedia_4684,0.24,enn energy holdings,vestel,False
FT_ID_176,dbpedia_4991,0.24,vinci,global savings group,False
FT_ID_309,dbpedia_1516,0.24,american electric,poshmark,False
FT_ID_421,dbpedia_326,0.24,lennar,city link (company),False
FT_ID_405,dbpedia_2322,0.24,mitsubishi electric,ams ag,False
FT_ID_931,dbpedia_5341,0.24,snam,the knowledge academy,False
FT_ID_1823,dbpedia_5708,0.23809523809523814,finecobank,staatsolie maatschappij suriname,False
FT_ID_1893,dbpedia_4149,0.23529411764705888,aozora bank,amerex,False
FT_ID_1269,dbpedia_5991,0.23529411764705888,vienna insurance group,cpfl energia,False
FT_ID_1786,dbpedia_694,0.23529411764705888,manpower,musim mas,False
FT_ID_1947,dbpedia_4276,0.23529411764705888,shanghai yuyuan tourist mart,acquia,False
FT_ID_346,dbpedia_3798,0.23529411764705888,bce,tcl technology,False
FT_ID_597,dbpedia_1973,0.23529411764705888,credit suisse group,weber shandwick,False
FT_ID_813,dbpedia_3523,0.23076923076923073,diamondback energy,cyberark,False
FT_ID_624,dbpedia_723,0.23076923076923073,koç holding,alchemist group,False
FT_ID_1282,dbpedia_6240,0.23076923076923073,wuxi apptec,pkb corporation,False
FT_ID_1207,dbpedia_11,0.23076923076923073,tohoku electric power,eneos,False
FT_ID_1089,dbpedia_1281,0.23076923076923073,lithia motors,mengniu dairy,False
FT_ID_123,dbpedia_2645,0.23076923076923073,hon hai precision ,sk hynix,False
FT_ID_256,dbpedia_2975,0.23076923076923073,kb financial group,amphenol,False
FT_ID_1899,dbpedia_4450,0.23076923076923073,brown & brown,rhön-klinikum,False
FT_ID_202,dbpedia_2392,0.23076923076923073,allstate,jamuna oil company,False
FT_ID_507,dbpedia_4768,0.23076923076923073,carrier global,"wilson, sons",False
FT_ID_1679,dbpedia_3689,0.23076923076923073,singapore airlines,mandiant,False
FT_ID_1803,dbpedia_1140,0.22857142857142854,jointown pharmaceutical group,huawei,False
FT_ID_558,dbpedia_6202,0.22857142857142854,china zheshang bank,rentokil initial,False
FT_ID_1588,dbpedia_1814,0.22857142857142854,metro group,igp (e-gifting retailer),False
FT_ID_36,dbpedia_3576,0.22857142857142854,goldman sachs group,ampco pittsburgh,False
FT_ID_86,dbpedia_3151,0.22857142857142854,merck & co.,grupo financiero galicia,False
FT_ID_1385,dbpedia_5721,0.22857142857142854,shanxi taigang stainless,2waytraffic,False
FT_ID_1617,dbpedia_4962,0.22857142857142854,kyushu financial group,hellenic bank,False
FT_ID_1385,dbpedia_1253,0.2272727272727273,shanxi taigang stainless,improbable (company),False
FT_ID_1690,dbpedia_246,0.2272727272727273,sba communications,fisher & paykel healthcare,False
