"","name","domain","year founded","industry","size range","locality","country","linkedin url","current employee estimate","total employee estimate"
"4256687","ohsu | oregon health & science university","ohsu.edu","1887.0","hospital & health care","10001+","portland, oregon, united states","united states","linkedin.com/company/ohsu","7313","14632"
"3285162","vanderbilt university medical center","vanderbilthealth.com","","hospital & health care","10001+","nashville, tennessee, united states","united states","linkedin.com/company/vanderbilt-university-medical-center","7312","15560"
"6237512","capita","capita.co.uk","1984.0","outsourcing/offshoring","10001+","london, london, united kingdom","united kingdom","linkedin.com/company/capita","7300","22805"
"659316","ulta beauty","ulta.com","1990.0","retail","10001+","bolingbrook, illinois, united states","united states","linkedin.com/company/ulta","7281","17782"
"1096097","broadcom","broadcom.com","1991.0","semiconductors","10001+","irvine, california, united states","united states","linkedin.com/company/broadcom","7281","17780"
"1496395","charlotte mecklenburg schools","cms.k12.nc.us","1882.0","primary/secondary education","10001+","charlotte, north carolina, united states","united states","linkedin.com/company/charlotte-mecklenburg-schools","7273","11712"
"2323056","poder judicial","peakth.com","","judiciary","10001+","","","linkedin.com/company/poder-judicial","7268","9465"
"2136331","natixis","natixis.com","","banking","10001+","paris, île-de-france, france","france","linkedin.com/company/natixis","7264","19428"
"13875","virginia tech","vt.edu","1872.0","higher education","10001+","blacksburg, virginia, united states","united states","linkedin.com/company/virginia-tech","7260","23485"
"6802494","sanofi pasteur","sanofipasteur.com","1990.0","pharmaceuticals","10001+","lyon, auvergne-rhône-alpes, france","france","linkedin.com/company/sanofi-pasteur","7258","16126"
"6561690","ramboll","ramboll.com","1945.0","civil engineering","10001+","copenhagen, capital region, denmark","denmark","linkedin.com/company/ramboll","7252","16307"
"6947610","washington university in st. louis","wustl.edu","1853.0","higher education","10001+","st. louis, missouri, united states","united states","linkedin.com/company/washington-university-in-st-louis","7247","18877"
"4498222","amd","amd.com","1969.0","semiconductors","10001+","austin, texas, united states","united states","linkedin.com/company/amd","7243","23315"
"2472887","university of cambridge","cam.ac.uk","","research","10001+","cambridge, cambridgeshire, united kingdom","united kingdom","linkedin.com/company/university-of-cambridge","7227","21318"
"4639750","covance","covance.com","1997.0","pharmaceuticals","10001+","princeton, new jersey, united states","united states","linkedin.com/company/covance","7219","17126"
"695503","memorial hermann health system","memorialhermann.org","","hospital & health care","10001+","","","linkedin.com/company/memorialhermann","7213","13010"
"4458512","american eagle outfitters","ae.com","1977.0","retail","10001+","pittsburgh, pennsylvania, united states","united states","linkedin.com/company/american-eagle-outfitters","7198","36373"
"4334889","ministério da educação","","","education management","10001+","","","linkedin.com/company/ministerio-da-educacao","7184","9406"
"3509361","banamex","citibanamex.com","1884.0","banking","10001+","mexico, distrito federal, mexico","mexico","linkedin.com/company/citibanamex","7182","16058"
"5601778","brigham young university","byu.edu","","higher education","10001+","provo, utah, united states","united states","linkedin.com/company/brigham-young-university","7167","28717"
"5892153","fermala","","","logistics and supply chain","10001+","","","linkedin.com/company/fermala","7167","7208"
"5602638","government of alberta","alberta.ca","1905.0","government administration","10001+","edmonton, alberta, canada","canada","linkedin.com/company/government-of-alberta","7163","12786"
"4143788","maersk line","maerskline.com","1928.0","maritime","10001+","copenhagen, capital region, denmark","denmark","linkedin.com/company/maersk-line","7160","22012"
"4600183","huntington national bank","huntington.com","1866.0","banking","10001+","columbus, ohio, united states","united states","linkedin.com/company/huntington-national-bank","7151","16332"
"3252883","bmo harris bank","bmoharris.com","1882.0","banking","10001+","chicago, illinois, united states","united states","linkedin.com/company/bmo-harris-bank","7134","18006"
"638962","fedex services","","2000.0","transportation/trucking/railroad","10001+","memphis, tennessee, united states","united states","linkedin.com/company/fedex-services","7128","12122"
"4503921","internal revenue service","irs-research.com","2010.0","market research","10001+","washington, district of columbia, united states","united states","linkedin.com/company/irs","7119","17442"
"1562113","coca-cola hellenic bottling company","coca-colahellenic.com","2000.0","food & beverages","10001+","zug, zug, switzerland","switzerland","linkedin.com/company/coca-cola-hbc","7116","17125"
"3786571","brigham and women's hospital","brighamandwomens.org","","hospital & health care","10001+","","","linkedin.com/company/brigham-and-women's-hospital","7109","18778"
"5830205","us environmental protection agency (epa)","epa.gov","1970.0","government administration","10001+","washington, district of columbia, united states","united states","linkedin.com/company/us-epa","7107","17681"
"3034307","cincinnati children's hospital medical center","cincinnatichildrens.org","1883.0","hospital & health care","10001+","","","linkedin.com/company/cincinnati-children's-hospital-medical-center","7105","12723"
"5465875","gfk","gfk.com","1934.0","market research","10001+","nuremberg, bayern, germany","germany","linkedin.com/company/gfk","7104","23895"
"6717250","bain & company","bain.com","1973.0","management consulting","10001+","boston, massachusetts, united states","united states","linkedin.com/company/bain-and-company","7102","20738"
"6433345","gobierno","cddiputados.gob.mx","","government relations","10001+","","","linkedin.com/company/gobierno","7100","7820"
"6199621","canadian armed forces | forces armées canadiennes","forces.ca","","military","10001+","ottawa, ontario, canada","canada","linkedin.com/company/canadian-forces","7099","19141"
"6259627","baylor scott & white health","bswhealth.com","1903.0","hospital & health care","10001+","dallas, texas, united states","united states","linkedin.com/company/bswhealth","7089","12501"
"5327307","alibaba.com","alibaba.com","1999.0","internet","10001+","hangzhou, zhejiang, china","china","linkedin.com/company/alibaba-com","7088","10487"
"5033052","s&p global market intelligence","spglobal.com","","financial services","10001+","new york, new york, united states","united states","linkedin.com/company/s&p-global-market-intelligence","7087","11600"
"1089745","lic of india","fidlonlegal.com","","insurance","10001+","","","linkedin.com/company/lic-of-india","7080","7613"
"5117617","e.on","eon.com","2000.0","utilities","10001+","dusseldorf, nordrhein-westfalen, germany","germany","linkedin.com/company/e-on","7079","16041"
"6955744","yahoo","yahoo.com","1994.0","internet","10001+","sunnyvale, california, united states","united states","linkedin.com/company/yahoo","7072","34947"
"6782309","mufg","mufg.jp","2001.0","financial services","10001+","","","linkedin.com/company/mufg","7066","15041"
"3218185","dla piper","dlapiper.com","2005.0","legal services","10001+","london, england, united kingdom","united kingdom","linkedin.com/company/dla-piper","7053","20205"
"1217845","kmart corporation","kmart.com","1962.0","retail","10001+","hoffman estates, illinois, united states","united states","linkedin.com/company/kmart","7044","32053"
"417679","anthem","anthem.com","","insurance","10001+","indianapolis, indiana, united states","united states","linkedin.com/company/anthem","7035","12965"
"598418","autodesk","autodesk.com","1982.0","computer software","10001+","san rafael, california, united states","united states","linkedin.com/company/autodesk","7020","18039"
"2226882","vanderbilt university","vanderbilt.edu","1873.0","higher education","10001+","nashville, tennessee, united states","united states","linkedin.com/company/vanderbilt-university","7010","18104"
"7012647","yes bank","yesbank.in","2004.0","banking","10001+","bombay, maharashtra, india","india","linkedin.com/company/yes-bank","7010","12133"
"6847909","mcgill university","mcgill.ca","1821.0","higher education","10001+","montréal, quebec, canada","canada","linkedin.com/company/mcgill-university","7007","23322"
"535934","fonterra","fonterra.com","2001.0","dairy","10001+","auckland, auckland, new zealand","new zealand","linkedin.com/company/fonterra","7005","14466"
"4092153","m. h. alshaya co.","alshaya.com","1890.0","retail","10001+","kuwait city, al asimah, kuwait","kuwait","linkedin.com/company/m--h--alshaya-co-","7000","12010"
"4408581","republic services","republicservices.com","1998.0","environmental services","10001+","phoenix, arizona, united states","united states","linkedin.com/company/republic-services-inc","6998","11327"
"124843","manpower","manpower.com","1948.0","staffing and recruiting","10001+","milwaukee, wisconsin, united states","united states","linkedin.com/company/manpower-","6994","25768"
"7116496","iheartmedia","iheartmedia.com","","broadcast media","10001+","san antonio, texas, united states","united states","linkedin.com/company/iheartmedia","6982","24433"
"7122758","ku leuven","kuleuven.be","","research","10001+","leuven, vlaams-brabant, belgium","belgium","linkedin.com/company/ku_leuven","6979","17741"
"6403964","kpit","kpit.com","1990.0","information technology and services","10001+","pune, maharashtra, india","india","linkedin.com/company/kpit","6978","15703"
"1907551","dassault systèmes","3ds.com","1981.0","computer software","10001+","velizy-villacoublay, ile-de-france, france","france","linkedin.com/company/dassaultsystemes","6976","14257"
"2463393","marriott hotels","marriotthotels.com","","hospitality","10001+","bethesda, maryland, united states","united states","linkedin.com/company/marriott_hotels_resorts","6938","21861"
"4664648","seb","sebgroup.com","1856.0","banking","10001+","stockholm, stockholm, sweden","sweden","linkedin.com/company/seb","6935","17349"
"1498213","el corte inglés","elcorteingles.es","1935.0","retail","10001+","madrid, madrid, spain","spain","linkedin.com/company/elcorteingles","6935","25033"
"7016930","applebee's","applebees.com","1980.0","restaurants","10001+","lenexa, kansas, united states","united states","linkedin.com/company/applebee's","6935","25142"
"4298816","louis vuitton","louisvuitton.com","","luxury goods & jewelry","10001+","paris, île-de-france, france","france","linkedin.com/company/louis-vuitton","6923","22022"
"5529740","the university of alabama at birmingham","uab.edu","1969.0","higher education","10001+","birmingham, alabama, united states","united states","linkedin.com/company/uab","6922","14241"
"911419","issste","issste.gob.mx","","government administration","10001+","","","linkedin.com/company/issste","6918","8988"
"2087534","gsa","gsa.gov","1949.0","government administration","10001+","washington, district of columbia, united states","united states","linkedin.com/company/gsa","6917","10542"
"6460684","tim hortons","timhortons.com","1964.0","food & beverages","10001+","","","linkedin.com/company/tim-hortons","6910","22978"
"4059475","world financial group (wfg)","worldfinancialgroup.com","2001.0","financial services","10001+","duluth, georgia, united states","united states","linkedin.com/company/world-financial-group-wfg","6903","9803"
"7046777","hm forces","","","military","10001+","","","linkedin.com/company/hm-forces","6897","19250"
"7002096","jsmnet","ibrowse.com.br","1998.0","information technology and services","10001+","canoas, rio grande do sul, brazil","brazil","linkedin.com/company/jsmnet","6894","7252"
"6389054","quicken loans","quickenloans.com","1985.0","financial services","10001+","detroit, michigan, united states","united states","linkedin.com/company/quicken-loans","6894","14855"
"2323798","bed bath & beyond","bedbathandbeyond.com","1971.0","retail","10001+","union, new jersey, united states","united states","linkedin.com/company/bed-bath-and-beyond","6891","19965"
"4055507","avanade","avanade.com","2000.0","information technology and services","10001+","seattle, washington, united states","united states","linkedin.com/company/avanade","6886","15820"
"112254","city of los angeles","midvalleypolicecouncil.org","","government administration","10001+","los angeles, california, united states","united states","linkedin.com/company/city-of-los-angeles","6881","11065"
"5142255","7-eleven","7-eleven.com","1927.0","retail","10001+","dallas, texas, united states","united states","linkedin.com/company/7-eleven","6878","17761"
"3721593","university of sydney","sydney.edu.au","","higher education","10001+","sydney, new south wales, australia","australia","linkedin.com/company/university-of-sydney","6873","17252"
"582112","dallas isd","dallasisd.org","","primary/secondary education","10001+","dallas, texas, united states","united states","linkedin.com/company/dallas-isd","6869","11022"
"1474865","dr. reddy's laboratories","drreddys.com","1984.0","pharmaceuticals","10001+","hyderābād, telangana, india","india","linkedin.com/company/dr--reddys-laboratories","6864","15347"
"3445574","instituto mexicano del seguro social","imss.gob.mx","1943.0","hospital & health care","10001+","cuauhtemoc, mexico, mexico","mexico","linkedin.com/company/instituto-mexicano-del-seguro-social","6863","9730"
"854040","advocate health care","advocatehealth.com","1995.0","hospital & health care","10001+","downers grove, illinois, united states","united states","linkedin.com/company/advocate-health-care","6862","10888"
"1511745","santander bank, n.a.","santanderbank.com","1857.0","banking","10001+","boston, massachusetts, united states","united states","linkedin.com/company/santander-bank-na","6854","17236"
"4106240","expeditors","expeditors.com","1979.0","logistics and supply chain","10001+","seattle, washington, united states","united states","linkedin.com/company/expeditors","6853","15085"
"5184110","conduent","conduent.com","","information technology and services","10001+","florham park, new jersey, united states","united states","linkedin.com/company/conduent","6847","9581"
"7159010","montgomery county public schools","montgomeryschoolsmd.org","","primary/secondary education","10001+","","","linkedin.com/company/montgomery-county-public-schools","6847","9744"
"3762676","directv","directv.com","1990.0","telecommunications","10001+","el segundo, california, united states","united states","linkedin.com/company/directv","6839","20859"
"826864","level 3 communications","level3.com","1998.0","telecommunications","10001+","broomfield, colorado, united states","united states","linkedin.com/company/level-3-communications","6837","20947"
"2768598","dnv gl","dnvgl.com","1864.0","public safety","10001+","oslo, oslo, norway","norway","linkedin.com/company/dnvgl","6832","14269"
"6891121","acn","myacn.com","1993.0","telecommunications","10001+","concord, north carolina, united states","united states","linkedin.com/company/acn","6827","10780"
"2301745","telkom","telkom.co.za","1991.0","telecommunications","10001+","pretoria, gauteng, south africa","south africa","linkedin.com/company/telkom","6825","14347"
"2069537","alstom power","","1928.0","oil & energy","10001+","baden, aargau, switzerland","switzerland","linkedin.com/company/alstom-power","6822","31673"
"3412473","iss facility services a/s","issworld.com","1901.0","facilities services","10001+","denmark, western australia, australia","australia","linkedin.com/company/iss-facility-services-a-s","6814","18016"
"5307231","boston university","bu.edu","1869.0","higher education","10001+","boston, massachusetts, united states","united states","linkedin.com/company/boston-university","6812","24866"
"1119193","nenhuma","northstarcruises.com","","airlines/aviation","10001+","","","linkedin.com/company/nenhuma","6809","8213"
"3582456","gobierno de la ciudad de buenos aires","buenosaires.gob.ar","","government administration","10001+","buenos aires, buenos aires f.d., argentina","argentina","linkedin.com/company/gobierno-de-la-ciudad-de-buenos-aires","6803","11837"
"939317","department of education and early childhood development, victoria, australia","education.vic.gov.au","","education management","10001+","","","linkedin.com/company/educationvic","6800","9174"
"3002476","education queensland","det.qld.gov.au","","government administration","10001+","","","linkedin.com/company/queensland-department-of-education","6798","10687"
"897830","coca-cola enterprises","ccep.com","2016.0","consumer goods","10001+","","","linkedin.com/company/coca-cola-european-partners","6785","25194"
"5853203","turk telekom","turktelekom.com.tr","1840.0","telecommunications","10001+","ankara, ankara, turkey","turkey","linkedin.com/company/turktelekom","6776","13923"
"4770797","wegmans food markets","wegmans.com","1916.0","retail","10001+","rochester, new york, united states","united states","linkedin.com/company/wegmans-food-markets","6775","15701"
"1617321","weichert realtors","weichert.com","1969.0","real estate","10001+","morris plains, new jersey, united states","united states","linkedin.com/company/weichert-realtors","6773","11506"
"6993265","oracle india pvt. ltd","","","information technology and services","10001+","gurgaon, haryana, india","india","linkedin.com/company/oracle-india","6762","11046"
"3824074","trane","trane.com","","mechanical or industrial engineering","10001+","","","linkedin.com/company/trane","6759","14531"
"2430051","synopsys","synopsys.com","1986.0","computer software","10001+","mountain view, california, united states","united states","linkedin.com/company/synopsys","6758","12579"
"6370754","politie nederland","kombijdepolitie.nl","","law enforcement","10001+","","","linkedin.com/company/nederlandse-politie","6756","15508"
"2157565","emory university","emory.edu","1836.0","higher education","10001+","atlanta, georgia, united states","united states","linkedin.com/company/emory-university","6747","17649"
"1356673","ryder system, inc.","ryder.com","1933.0","transportation/trucking/railroad","10001+","miami, florida, united states","united states","linkedin.com/company/ryder-system-inc","6744","12324"
"5323486","ipsos","ipsos.com","1975.0","market research","10001+","paris, île-de-france, france","france","linkedin.com/company/ipsos","6736","19974"
"4033570","gendarmerie nationale","interieur.gouv.fr","","law enforcement","10001+","moulineaux, normandy, france","france","linkedin.com/company/gendarmerie-nationale","6731","11147"
"4559986","pernod ricard","pernod-ricard.com","1975.0","wine and spirits","10001+","paris, île-de-france, france","france","linkedin.com/company/pernod-ricard","6714","18457"
"5363394","woolworths","woolworths.co.za","1945.0","retail","10001+","cape town, western cape, south africa","south africa","linkedin.com/company/woolworths","6710","15515"
"5022866","deutsche gesellschaft für internationale zusammenarbeit (giz) gmbh","giz.de","","international trade and development","10001+","","","linkedin.com/company/deutsche-gesellschaft-f-r-internationale-zusammenarbeit-giz-gmbh","6700","18009"
"6327181","avery dennison","averydennison.com","1935.0","packaging and containers","10001+","glendale, california, united states","united states","linkedin.com/company/avery-dennison","6692","17773"
"1297265","national park service","nps.gov","1916.0","government administration","10001+","washington, district of columbia, united states","united states","linkedin.com/company/national-park-service","6688","18223"
"6944704","lexisnexis","lexisnexis.com","1973.0","information technology and services","10001+","new york, new york, united states","united states","linkedin.com/company/lexisnexis","6685","21421"
"6315048","cea - commissariat à l'énergie atomique et aux énergies alternatives","cea.fr","1945.0","research","10001+","france, aquitaine, france","france","linkedin.com/company/cea","6683","20668"
"3677772","mylan","mylan.com","1961.0","pharmaceuticals","10001+","canonsburg, pennsylvania, united states","united states","linkedin.com/company/mylan","6683","12294"
"4119034","unhcr","unhcr.org","1950.0","international affairs","10001+","washington, district of columbia, united states","switzerland","linkedin.com/company/unhcr","6679","16846"
"1231806","zodiac aerospace","zodiacaerospace.com","1896.0","aviation & aerospace","10001+","plaisir, ile-de-france, france","france","linkedin.com/company/zodiac-aerospace","6678","14713"
"1169136","brookdale","brookdalecareers.com","1978.0","hospital & health care","10001+","brentwood, tennessee, united states","united states","linkedin.com/company/brookdale-senior-living","6674","13650"
"7008260","ministère de l'intérieur","","","government administration","10001+","paris, île-de-france, france","france","linkedin.com/company/minist-re-de-l'int-rieur","6664","10015"
"7033252","moh","mhi.co.jp","","entertainment","10001+","","","linkedin.com/company/moh","6663","7056"
"2085406","gilead sciences","gilead.com","1987.0","biotechnology","10001+","foster city, california, united states","united states","linkedin.com/company/gilead-sciences","6659","12132"
"6046763","advantage sales & marketing","advantagesolutions.net","1987.0","consumer goods","10001+","irvine, california, united states","united states","linkedin.com/company/advantage-solutions-sales-marketing-technology","6655","14071"
"2981103","juniper networks","juniper.net","1996.0","computer networking","10001+","sunnyvale, california, united states","united states","linkedin.com/company/juniper-networks","6654","15166"
"4255837","casa","casa-satx.org","1984.0","non-profit organization management","10001+","san antonio, texas, united states","united states","linkedin.com/company/casa","6654","7814"
"1604977","buffalo wild wings","buffalowildwings.com","1982.0","restaurants","10001+","minneapolis, minnesota, united states","united states","linkedin.com/company/buffalo-wild-wings","6647","20443"
"3215314","banco de crédito bcp","trabajaenelbcp.com","1889.0","banking","10001+","la molina hacienda, lima, peru","peru","linkedin.com/company/banco-de-credito-bcp","6647","16155"
"4939007","bank of the west","bankofthewest.com","1874.0","banking","10001+","san francisco, california, united states","united states","linkedin.com/company/bank-of-the-west","6640","14110"
"607000","globalfoundries","globalfoundries.com","2009.0","semiconductors","10001+","santa clara, california, united states","united states","linkedin.com/company/globalfoundries","6639","10750"
"2811098","sanofi genzyme","sanofigenzyme.com","1981.0","biotechnology","10001+","cambridge, massachusetts, united states","united states","linkedin.com/company/sanofigenzyme","6638","17070"
"2272753","baker & mckenzie","bakermckenzie.com","1949.0","law practice","10001+","chicago, illinois, united states","united states","linkedin.com/company/baker-&-mckenzie","6637","20285"
"211371","cma cgm","cma-cgm.com","1978.0","maritime","10001+","marseille, provence-alpes-cote d'azur, france","france","linkedin.com/company/cma-cgm","6634","13991"
"2778929","belastingdienst","belastingdienst.nl","1806.0","government administration","10001+","ee, friesland, netherlands","netherlands","linkedin.com/company/belastingdienst","6631","16903"
"1646404","usaid","usaid.gov","1961.0","international affairs","10001+","washington, district of columbia, united states","united states","linkedin.com/company/usaid","6616","17957"
"4044522","royal air force","","","military","10001+","","","linkedin.com/company/royal-air-force","6616","27869"
"5942647","northeastern university","northeastern.edu","","higher education","10001+","boston, massachusetts, united states","united states","linkedin.com/company/northeastern-university","6605","22438"
"5852492","teacher","mrdartclass.com","","education management","10001+","","","linkedin.com/company/teacher","6601","7440"
"1008565","southern company","southerncompany.com","1912.0","utilities","10001+","atlanta, georgia, united states","united states","linkedin.com/company/southern-company","6599","11594"
"3262858","air products","airproducts.com","1940.0","chemicals","10001+","trexlertown, pennsylvania, united states","united states","linkedin.com/company/air-products","6599","15127"
"493998","lyft","lyft.com","2012.0","consumer services","10001+","san francisco, california, united states","united states","linkedin.com/company/lyft","6594","9567"
"830018","deloitte uk","deloitte.co.uk","","management consulting","10001+","","","linkedin.com/company/deloitte-uk","6585","15078"
"3953820","woolworths limited","woolworthsgroup.com.au","1924.0","retail","10001+","","","linkedin.com/company/woolworths-group","6578","16973"
"1873261","university of missouri","missouri.edu","1839.0","higher education","10001+","columbia, missouri, united states","united states","linkedin.com/company/university-of-missouri","6576","20476"
"5521281","newell brands","newellbrands.com","","consumer goods","10001+","hoboken, new jersey, united states","united states","linkedin.com/company/newellbrands","6575","17315"
"1017277","southern wine & spirits","southernwine.com","1968.0","wine and spirits","10001+","miami, florida, united states","united states","linkedin.com/company/southern-wine-&-spirits","6573","11383"
"1103077","archer daniels midland company","adm.com","1902.0","food production","10001+","chicago, illinois, united states","united states","linkedin.com/company/adm","6564","13738"
"1504826","university of miami","miami.edu","1925.0","higher education","10001+","","united states","linkedin.com/company/university-of-miami","6563","17500"
"7053286","carnival cruise lines","carnival.com","1972.0","leisure, travel & tourism","10001+","miami, florida, united states","united states","linkedin.com/company/carnival-cruise-lines","6558","17209"
"227182","flsmidth","flsmidth.com","1882.0","mechanical or industrial engineering","10001+","valby, capital region, denmark","denmark","linkedin.com/company/flsmidth","6556","12803"
"2539273","icici prudential life insurance company limited","iciciprulife.com","2000.0","insurance","10001+","bombay, maharashtra, india","india","linkedin.com/company/icici-prudential-life-insurance-company-limited","6555","19193"
"4366483","bridgestone","bridgestoneamericas.com","1931.0","automotive","10001+","nashville, tennessee, united states","united states","linkedin.com/company/bridgestone","6552","14556"
"197342","genesis healthcare","genesishcc.com","1985.0","hospital & health care","10001+","kennett square, pennsylvania, united states","united states","linkedin.com/company/genesis-healthcare","6541","11995"
"260595","arrow electronics","arrow.com","1935.0","information technology and services","10001+","centennial, colorado, united states","united states","linkedin.com/company/arrow-electronics","6541","16709"
"5283669","gamestop","gamestop.com","1996.0","retail","10001+","grapevine, texas, united states","united states","linkedin.com/company/gamestop","6539","29639"
"920998","philips lighting","","1891.0","electrical/electronic manufacturing","10001+","","","linkedin.com/company/philips-lighting","6537","18341"
"2068382","consultant","20h.com","","internet","10001+","","","linkedin.com/company/consultant_67","6535","8628"
"1118542","private practice","psypraxis.com","","mental health care","10001+","","","linkedin.com/company/private-practice_53","6531","7120"
"6374571","general dynamics","gd.com","1952.0","defense & space","10001+","falls church, virginia, united states","united states","linkedin.com/company/general-dynamics","6528","19177"
"1527828","deloitte india (offices of the us)","","","management consulting","10001+","hyderābād, telangana, india","india","linkedin.com/company/deloitte-usi","6527","10372"
"1522081","fastenal","fastenal.com","1967.0","wholesale","10001+","winona, minnesota, united states","united states","linkedin.com/company/fastenal","6523","17739"
"6711338","unam","unam.mx","1958.0","professional training & coaching","10001+","mexico, maine, united states","united states","linkedin.com/company/unam","6523","9301"
"5911924","discover financial services","discover.com","1985.0","financial services","10001+","riverwoods, illinois, united states","united states","linkedin.com/company/discover-financial-services","6521","14801"
"3924244","erdf","erdf.fr","2008.0","utilities","10001+","la defense, hauts-de-seine, france","france","linkedin.com/company/erdf","6518","12045"
"840774","texas health resources","adtrk.tw","1997.0","hospital & health care","10001+","arlington, texas, united states","united states","linkedin.com/company/texas-health-resources","6516","10302"
"6220069","lufthansa","lh.com","1954.0","airlines/aviation","10001+","frankfurt am main, hesse, germany","germany","linkedin.com/company/lufthansa","6505","15367"
"5387301","publica","srnetconsulting.com","2010.0","internet","10001+","paris, île-de-france, france","france","linkedin.com/company/publica","6502","6742"
"5097764","my house","chrisbradford.com","","recreational facilities and services","10001+","","","linkedin.com/company/my-house","6499","6766"
"2282670","jefferson county public schools","jcpsky.net","1829.0","education management","10001+","louisville, kentucky, united states","united states","linkedin.com/company/jefferson-county-public-schools","6496","8700"
"6998548","autoliv","autoliv.com","1953.0","automotive","10001+","ase, vasternorrlands lan, sweden","sweden","linkedin.com/company/autoliv","6496","14661"
"5782370","sykes","sykes.com","1977.0","outsourcing/offshoring","10001+","tampa, florida, united states","united states","linkedin.com/company/sykes","6495","23441"
"927912","education nationale - p@irformance","ac-versailles.fr","","primary/secondary education","10001+","versailles, ile-de-france, france","france","linkedin.com/company/education-nationale---p-irformance","6482","7313"
"4296985","loblaw companies limited","loblaw.ca","","retail","10001+","brampton, ontario, canada","canada","linkedin.com/company/loblaw-companies-limited","6482","18356"
"6025874","fema","fema.gov","1979.0","government administration","10001+","washington, district of columbia, united states","united states","linkedin.com/company/fema","6482","11872"
"1787146","blue cross and blue shield of illinois, montana, new mexico, oklahoma & texas","hcsc.com","1936.0","insurance","10001+","chicago, illinois, united states","united states","linkedin.com/company/blue-cross-and-blue-shield-of-illinois-new-mexico-oklahoma-&-texas","6474","12227"
"1925377","king's college london","kcl.ac.uk","1829.0","research","10001+","london, london, united kingdom","united kingdom","linkedin.com/company/king's-college-london","6474","16183"
"737998","university hospitals of cleveland","","1866.0","hospital & health care","10001+","cleveland, ohio, united states","united states","linkedin.com/company/university-hospitals","6473","11631"
"2708551","jetblue airways","jetblue.com","1999.0","airlines/aviation","10001+","long island city, new york, united states","united states","linkedin.com/company/jetblue-airways","6463","10075"
"3862636","abercrombie & fitch","abercrombie.com","","retail","10001+","new albany, ohio, united states","united states","linkedin.com/company/abercrombie-&-fitch","6453","46350"
"2589938","escritório advocacia","echogroupinc.com","","judiciary","10001+","","","linkedin.com/company/escrit-rio-advocacia","6447","8421"
"817832","university of georgia","uga.edu","","higher education","10001+","athens, georgia, united states","united states","linkedin.com/company/university-of-georgia","6436","21064"
"2336654","ogilvy & mather","ogilvy.com","","marketing and advertising","10001+","new york, new york, united states","united states","linkedin.com/company/ogilvyadvertising","6433","41721"
"1794472","ferrero","ferrerocareers.com","1946.0","consumer goods","10001+","italy, new york, united states","united states","linkedin.com/company/ferrero","6429","14464"
"4551593","totvs","totvs.com","1983.0","computer software","10001+","leme, sao paulo, brazil","brazil","linkedin.com/company/totvs","6428","16453"
"150040","flowserve corporation","flowserve.com","1997.0","mechanical or industrial engineering","10001+","irving, texas, united states","united states","linkedin.com/company/flowserve","6423","12898"
"6912379","turner construction company","turnerconstruction.com","1902.0","construction","10001+","new york, new york, united states","united states","linkedin.com/company/turner-construction-company","6422","14337"
"3577922","assurant","assurant.com","","insurance","10001+","new york, new york, united states","united states","linkedin.com/company/assurant","6419","15408"
"1307608","university of central florida","ucf.edu","","higher education","10001+","orlando, florida, united states","united states","linkedin.com/company/university-of-central-florida","6419","19087"
"5164467","essalud seguros social de salud","essalud.gob.pe","","hospital & health care","10001+","","","linkedin.com/company/essalud-seguros-social-de-salud","6412","8260"
"4645086","wm morrison supermarkets plc","morrisons.jobs","1899.0","retail","10001+","bradford, bradford, united kingdom","united kingdom","linkedin.com/company/wm-morrison-supermarkets-plc","6403","17748"
"2823112","massage envy","massageenvy.com","2002.0","health, wellness and fitness","10001+","scottsdale, arizona, united states","united states","linkedin.com/company/massage-envy","6397","15176"
"4142436","forever 21","forever21.com","1984.0","apparel & fashion","10001+","los angeles, california, united states","united states","linkedin.com/company/forever-21","6392","28803"
"3607575","us department of health and human services","hhs.gov","","government administration","10001+","washington, district of columbia, united states","united states","linkedin.com/company/us-department-of-health-and-human-services","6388","12508"
"6501437","hm revenue & customs","hmrc.gov.uk","2005.0","government administration","10001+","london, greater london, united kingdom","united kingdom","linkedin.com/company/hm-revenue-&-customs","6387","14583"
"4275662","mazars","mazars.com","1940.0","accounting","10001+","la defense, hauts-de-seine, france","france","linkedin.com/company/mazars","6387","20335"
"1756249","hallmark cards","hallmark.com","1910.0","consumer goods","10001+","kansas city, missouri, united states","united states","linkedin.com/company/hallmark-cards","6386","18025"
"3109142","suncorp group","suncorp.com.au","","financial services","10001+","auckland, auckland, new zealand","new zealand","linkedin.com/company/suncorp","6377","16078"
"1545104","advance auto parts","advanceautoparts.com","1932.0","retail","10001+","roanoke, virginia, united states","united states","linkedin.com/company/advance-auto-parts","6371","15579"
"505025","logica","logica.com","","information technology and services","10001+","montréal, quebec, canada","canada","linkedin.com/company/logica","6368","40443"
"1397622","infosys bpo","infosysbpm.com","2002.0","information technology and services","10001+","bengaluru, karnataka, india","india","linkedin.com/company/infosys-bpm","6357","15740"
"52595","the university of queensland","uq.edu.au","1909.0","higher education","10001+","brisbane, queensland, australia","australia","linkedin.com/company/university-of-queensland","6357","16875"
"1521467","secretaria estadual de educação","cabralsalainformatizada.blogspot.com","","government administration","10001+","","","linkedin.com/company/secretaria-estadual-de-educa-o","6353","7522"
"3376423","landmark group","landmarkgroup.com","1973.0","retail","10001+","dubai, dubai, united arab emirates","united arab emirates","linkedin.com/company/landmark-group","6346","12064"
